Pin	Vout::.1	Vout::.2	Vout::.3	Gain_mio	freq
-50	0.0041079566673263412	6.8085831142361831E-07	3.75230537459851E-10	15.781726278808279	900000000
-49	0.004609201771886522	8.571530858915027E-07	5.3002838357193711E-10	15.781724743700554	900000000
-48	0.0051716074334118853	1.0790969657136956E-06	7.4868603709514286E-10	15.781722795017306	900000000
-47	0.005802636144527579	1.3585107666927587E-06	1.0575496188066175E-09	15.781720353933288	900000000
-46	0.0065106608383296259	1.7102766824161344E-06	1.4938327306545192E-09	15.781717286180799	900000000
-45	0.0073050759517204649	2.1531313291283698E-06	2.1101022366141393E-09	15.781713416148923	900000000
-44	0.008196422034555324	2.710664307645838E-06	2.9806119599821384E-09	15.781708557555326	900000000
-43	0.0091965254880981302	3.4125757798326699E-06	4.210249870102032E-09	15.781702407543801	900000000
-42	0.010318655316946103	4.2962601617993912E-06	5.9471775799833093E-09	15.781694662748379	900000000
-41	0.011577699183542279	5.4088007388827029E-06	8.4006859544426219E-09	15.781684950925145	900000000
-40	0.012990360357756166	6.8094821935683878E-06	1.1866416772692431E-08	15.781672715651819	900000000
-39	0.014575379056832994	8.5729558651339136E-06	1.6761994552100892E-08	15.781657317348927	900000000
-38	0.016353780820007068	1.0793228240632728E-05	2.3677365239351319E-08	15.781637911871467	900000000
-37	0.018349154108072221	1.3588687597725069E-05	3.3445911885054941E-08	15.781613456234245	900000000
-36	0.02058796280783818	1.7108441296802031E-05	4.7244929902211272E-08	15.781582717492421	900000000
-35	0.023099895196965894	2.1540307675778203E-05	6.6737592677391108E-08	15.781543990648512	900000000
-34	0.025918255767449952	2.7120900355442672E-05	9.4273545057968928E-08	15.781495208715054	900000000
-33	0.02908040391129766	3.4148358471614032E-05	1.3317237525054695E-07	15.781433772533543	900000000
-32	0.032628244995019554	4.2998429876459981E-05	1.8812424027456774E-07	15.781356409927898	900000000
-31	0.036608779550056626	5.4144808482638911E-05	2.6575614951393647E-07	15.78125894365253	900000000
-30	0.041074718139391071	6.8184879819810888E-05	3.7543253552727966E-07	15.781136169187153	900000000
-29	0.046085167090394737	8.5872359476074105E-05	5.3038731304673988E-07	15.780981458383369	900000000
-28	0.051706394204631453	0.0001081587437064202	7.4932511513001025E-07	15.780786453269274	900000000
-27	0.058012681927246804	0.00013624606679233441	1.0586869899711473E-06	15.780540620661496	900000000
-26	0.065087274792461569	0.00017165423856844737	1.4958577227615329E-06	15.780230578526579	900000000
-25	0.073023431042175124	0.00021630728321270321	2.1137087546820521E-06	15.77983933936429	900000000
-24	0.081925583956863848	0.00027264426535378246	2.9870377770349309E-06	15.779345450403655	900000000
-23	0.091910619128628177	0.00034376270659521144	4.2217053270036822E-06	15.778721335535176	900000000
-22	0.10310927078930353	0.00043360525549892268	5.9676144940601949E-06	15.777932104607968	900000000
-21	0.11566763457973715	0.00054720455663931388	8.4371798869112943E-06	15.776932717947139	900000000
-20	0.1297487871429982	0.00069100805613545675	1.1931650644463284E-05	15.775665351358272	900000000
-19	0.14553449134969329	0.00087331149584123882	1.6878823773703351E-05	15.774055104293303	900000000
-18	0.16322693350538864	0.0011048519516876146	2.388707548977433E-05	15.772004013457758	900000000
-17	0.18305043359392628	0.0013996245667430593	3.3823526631408788E-05	15.769383300639348	900000000
-16	0.20525296727705419	0.0017760371610717419	4.7927856267681302E-05	15.766021187384403	900000000
-15	0.23010729111067119	0.0022585795160003927	6.798031268307592E-05	15.761685452980805	900000000
-14	0.25791127035996991	0.0028803075020239106	9.6554908586698795E-05	15.75605645726956	900000000
-13	0.28898671809488835	0.0036866685529214601	0.00013741399072777217	15.748683717776455	900000000
-12	0.3236755440090226	0.0047416265204715431	0.00019615732011808102	15.738914419823104	900000000
-11	0.36233085758292521	0.0061379780699835481	0.00028138255089901033	15.725766586205417	900000000
-10	0.405298447897598	0.0080157433400342114	0.00040702003557672556	15.707692841246935	900000000
-9	0.45287854017762325	0.010597434451801222	0.00059775747492137651	15.682102198808376	900000000
-8	0.5052436861302384	0.014261850684305155	0.00090361945325728873	15.644297454048059	900000000
-7	0.56224706721836226	0.019715863064035666	0.0014442308200155445	15.584810062940273	900000000
-6	0.62292309374511967	0.028439213085278484	0.0025533422375885653	15.48175736759876	900000000
-5	0.68414981295617505	0.043808523549728716	0.0052269951531670154	15.27764355299297	900000000
-4	0.73940612115341953	0.071426696413570717	0.01168014703942663	14.848271232526191	900000000
-3	0.78738937171707934	0.11019693041465389	0.0231040415205424	14.154871670946578	900000000
-2	0.83535651195860472	0.15344438496270024	0.037971566594534698	13.36584117522362	900000000
-1	0.88624682551829825	0.19373218565449152	0.053513327023171395	12.577198727185738	900000000
0	0.93168412468953477	0.22710354575681047	0.069440276374036186	11.699881523070619	900000000
1	0.95990463924430891	0.25906222414582031	0.083426937681082461	10.547393582348256	900000000
2	0.98124612874565642	0.29262753939589581	0.084488814538934393	9.2569125775812893	900000000
3	1.0014093718279233	0.33014919561820727	0.090658732763754371	7.9755389408486721	900000000
4	1.0240543747437774	0.37534063852614996	0.10465074512355955	6.7641976687653163	900000000
5	1.0578382061456661	0.42793527167135231	0.10555107414866585	5.7416499154798641	900000000
6	1.1023355548539968	0.48383477770427258	0.091129763672069083	4.8863020117940543	900000000
7	1.1469820089011982	0.54034860559777709	0.075909532532922999	4.044431873691714	900000000
8	1.1790007543140901	0.58158571047319707	0.067856546377671551	3.046391490515949	900000000
9	1.1912497016116628	0.60807798925785184	0.074522669350991791	1.7990527818100848	900000000
10	1.2158146268645404	0.62082450811460854	0.086867546866599227	0.69411443166944076	900000000
11	1.2597465889658104	0.62031240171755797	0.10064836449189278	-0.1775119322793704	900000000
12	1.3089191515433545	0.61524927992916245	0.11992375050628561	-0.98756165633910231	900000000
13	1.3583258894698846	0.60524882986160711	0.1450048768234333	-1.799750285718805	900000000
14	1.3995681059943172	0.59105095594376478	0.17539057804822142	-2.7026152911374717	900000000
15	1.4152295255671754	0.58435986664752582	0.20589866309872948	-3.8477813744187244	900000000
16	1.460273416204763	0.64158065413625576	0.21014564700340607	-4.6576964134506884	900000000
17	1.5033438686949878	0.69855796930578506	0.22768345637627768	-5.5074792762087386	900000000
18	1.4867108257723507	0.63182172387058522	0.35310277251440614	-6.904060652576959	900000000
19	1.5453355651498586	0.65866688446707311	0.39047782882374343	-7.643558065627241	900000000
20	1.6187874471679127	0.70848408295309429	0.41493052922763479	-8.2884593406725671	900000000

