nf[1]	nf[2]	NFmin	freq
30.5	1.18	0.863	1e+08
24.9	1.19	0.866	2e+08
21.8	1.21	0.87	3e+08
19.7	1.23	0.877	4e+08
18	1.27	0.885	5e+08
16.7	1.31	0.895	6e+08
15.6	1.36	0.906	7e+08
14.7	1.42	0.919	8e+08
13.9	1.48	0.933	9e+08
13.2	1.55	0.949	1e+09
12.6	1.63	0.965	1.1e+09
12.1	1.71	0.983	1.2e+09
11.6	1.79	1	1.3e+09
11.2	1.89	1.02	1.4e+09
10.9	1.98	1.04	1.5e+09
