Mu1	MuPrime1	freq
1.1200598	1.1294011	1.71e+09
1.11755365	1.12857389	1.72e+09
1.1150938	1.1277602	1.73e+09
1.11267913	1.12695965	1.74e+09
1.11030858	1.12617187	1.75e+09
1.10798112	1.12539647	1.76e+09
1.10569572	1.12463311	1.77e+09
1.10345141	1.12388142	1.78e+09
1.10124724	1.12314105	1.79e+09
1.09908228	1.12241166	1.8e+09
1.09695563	1.12169292	1.81e+09
1.09486643	1.12098449	1.82e+09
1.09281382	1.12028605	1.83e+09
1.09079699	1.11959727	1.84e+09
1.08881512	1.11891784	1.85e+09
1.08686744	1.11824743	1.86e+09
1.0849532	1.11758574	1.87e+09
1.08307165	1.11693245	1.88e+09
1.08122208	1.11628726	1.89e+09
1.0794038	1.11564986	1.9e+09
1.07761612	1.11501995	1.91e+09
1.07585839	1.11439721	1.92e+09
1.07412996	1.11378134	1.93e+09
1.07243021	1.11317204	1.94e+09
1.07075853	1.112569	1.95e+09
1.06911432	1.11197191	1.96e+09
1.06749702	1.11138045	1.97e+09
1.06590605	1.1107943	1.98e+09
1.06434087	1.11021316	1.99e+09
1.06280095	1.10963668	2e+09
