nf[1]	nf[2]	NFmin	freq
12.3756084	1.59085432	1.08239679	1.33e+09
12.3347673	1.59043189	1.08450899	1.34e+09
12.2948304	1.58985366	1.08662754	1.35e+09
12.2557806	1.58911966	1.08875232	1.36e+09
12.2176014	1.58823006	1.09088324	1.37e+09
12.1802765	1.58718514	1.09302022	1.38e+09
12.1437899	1.58598533	1.09516315	1.39e+09
12.108126	1.58463119	1.09731194	1.4e+09
12.0732694	1.58312338	1.0994665	1.41e+09
12.0392052	1.58146275	1.10162673	1.42e+09
12.0059184	1.57965026	1.10379254	1.43e+09
11.9733948	1.577687	1.10596384	1.44e+09
11.94162	1.57557423	1.10814052	1.45e+09
11.9105803	1.57331336	1.11032251	1.46e+09
11.8802619	1.57090591	1.1125097	1.47e+09
11.8506515	1.56835361	1.11470201	1.48e+09
11.8217361	1.5656583	1.11689934	1.49e+09
11.7935027	1.562822	1.11910161	1.5e+09
11.7659387	1.55984688	1.12130871	1.51e+09
11.7390319	1.55673529	1.12352056	1.52e+09
11.7127701	1.55348975	1.12573707	1.53e+09
11.6871414	1.55011293	1.12795815	1.54e+09
11.6621342	1.54660769	1.13018372	1.55e+09
11.6377371	1.54297707	1.13241367	1.56e+09
11.6139388	1.53922429	1.13464792	1.57e+09
11.5907285	1.53535275	1.13688639	1.58e+09
11.5680953	1.53136605	1.13912899	1.59e+09
11.5460288	1.52726798	1.14137563	1.6e+09
11.5245184	1.52306252	1.14362622	1.61e+09
11.5035542	1.51875385	1.14588068	1.62e+09
11.4831262	1.51434638	1.14813893	1.63e+09
11.4632246	1.50984468	1.15040087	1.64e+09
11.4438398	1.50525359	1.15266643	1.65e+09
11.4249625	1.50057812	1.15493551	1.66e+09
11.4065834	1.49582353	1.15720805	1.67e+09
11.3886936	1.49099528	1.15948394	1.68e+09
11.3712842	1.48609908	1.16176312	1.69e+09
11.3543466	1.48114086	1.16404551	1.7e+09
11.3378721	1.47612679	1.16633101	1.71e+09
11.3218525	1.47106328	1.16861955	1.72e+09
11.3062796	1.46595699	1.17091106	1.73e+09
11.2911454	1.46081482	1.17320544	1.74e+09
11.2764419	1.45564392	1.17550263	1.75e+09
11.2621615	1.4504517	1.17780254	1.76e+09
11.2482966	1.44524583	1.18010511	1.77e+09
11.2348398	1.44003424	1.18241024	1.78e+09
11.2217838	1.43482513	1.18471787	1.79e+09
11.2091213	1.42962697	1.18702792	1.8e+09
11.1968455	1.42444848	1.18934031	1.81e+09
11.1849494	1.41929869	1.19165498	1.82e+09
11.1734263	1.41418688	1.19397184	1.83e+09
11.1622695	1.40912264	1.19629083	1.84e+09
11.1514727	1.40411579	1.19861187	1.85e+09
11.1410293	1.3991765	1.20093489	1.86e+09
11.1309331	1.39431518	1.20325982	1.87e+09
11.1211781	1.38954253	1.20558659	1.88e+09
11.1117581	1.38486957	1.20791513	1.89e+09
11.1026673	1.38030758	1.21024537	1.9e+09
11.0938999	1.37586813	1.21257724	1.91e+09
11.0854502	1.37156309	1.21491067	1.92e+09
11.0773126	1.36740462	1.2172456	1.93e+09
11.0694817	1.36340516	1.21958196	1.94e+09
11.061952	1.35957744	1.22191968	1.95e+09
11.0547183	1.35593446	1.2242587	1.96e+09
11.0477754	1.35248954	1.22659895	1.97e+09
11.0411183	1.34925622	1.22894037	1.98e+09
11.0347418	1.34624837	1.23128289	1.99e+09
11.0286413	1.34348009	1.23362645	2e+09
