optIter	freq	dB(S(2,1))[0, ::]
51	5.00000000000000000E8	7.86947269969627961E0
51	5.00999999999999979E8	7.85555377717598624E0
51	5.02000000000000046E8	7.84169674165881769E0
51	5.02999999999999936E8	7.82790167673874038E0
51	5.04000000000000004E8	7.81416866637430818E0
51	5.04999999999999982E8	7.80049779490181727E0
51	5.06000000000000050E8	7.78688914705532920E0
51	5.07000000000000028E8	7.77334280795324339E0
51	5.08000000000000007E8	7.75985886312063666E0
51	5.08999999999999986E8	7.74643739849953405E0
51	5.09999999999999964E8	7.73307850044318901E0
51	5.11000000000000032E8	7.71978225573771226E0
51	5.12000000000000011E8	7.70654875161071296E0
51	5.12999999999999989E8	7.69337807572766952E0
51	5.13999999999999968E8	7.68027031619929357E0
51	5.15000000000000036E8	7.66722556162068081E0
51	5.16000000000000014E8	7.65424390101774677E0
51	5.16999999999999993E8	7.64132542392773928E0
51	5.17999999999999972E8	7.62847022034166411E0
51	5.18999999999999950E8	7.61567838076600090E0
51	5.20000000000000018E8	7.60294999619856426E0
51	5.20999999999999996E8	7.59028515813605065E0
51	5.22000000000000064E8	7.57768395860272115E0
51	5.22999999999999954E8	7.56514649013547036E0
51	5.24000000000000021E8	7.55267284580429887E0
51	5.25000000000000000E8	7.54026311922336578E0
51	5.25999999999999979E8	7.52791740454352709E0
51	5.27000000000000046E8	7.51563579648052293E0
51	5.27999999999999936E8	7.50341839029734725E0
51	5.29000000000000004E8	7.49126528183668228E0
51	5.29999999999999982E8	7.47917656751261184E0
51	5.31000000000000050E8	7.46715234433783603E0
51	5.32000000000000028E8	7.45519270989032456E0
51	5.33000000000000007E8	7.44329776236968943E0
51	5.33999999999999986E8	7.43146760057365885E0
51	5.34999999999999964E8	7.41970232392712248E0
51	5.36000000000000032E8	7.40800203246036570E0
51	5.37000000000000011E8	7.39636682684330715E0
51	5.37999999999999989E8	7.38479680839015629E0
51	5.38999999999999968E8	7.37329207905482509E0
51	5.40000000000000036E8	7.36185274143500479E0
51	5.41000000000000014E8	7.35047889881108052E0
51	5.41999999999999993E8	7.33917065511632849E0
51	5.42999999999999972E8	7.32792811497288721E0
51	5.43999999999999950E8	7.31675138366658739E0
51	5.45000000000000018E8	7.30564056720399435E0
51	5.45999999999999996E8	7.29459577226890588E0
51	5.47000000000000064E8	7.28361710626664216E0
51	5.47999999999999954E8	7.27270467730968129E0
51	5.49000000000000021E8	7.26185859423747537E0
51	5.50000000000000000E8	7.25107896662188356E0
51	5.50999999999999979E8	7.24036590476463715E0
51	5.52000000000000046E8	7.22971951972755900E0
51	5.52999999999999936E8	7.21913992332365861E0
51	5.54000000000000004E8	7.20862722812282186E0
51	5.54999999999999982E8	7.19818154746379868E0
51	5.56000000000000050E8	7.18780299547190449E0
51	5.57000000000000028E8	7.17749168705580587E0
51	5.58000000000000007E8	7.16724773791202807E0
51	5.58999999999999986E8	7.15707126454142450E0
51	5.59999999999999964E8	7.14696238425707620E0
51	5.61000000000000032E8	7.13692121519626266E0
51	5.62000000000000011E8	7.12694787631104187E0
51	5.62999999999999989E8	7.11704248738678125E0
51	5.63999999999999968E8	7.10720516906006150E0
51	5.65000000000000036E8	7.09743604281315754E0
51	5.66000000000000014E8	7.08773523098873337E0
51	5.66999999999999993E8	7.07810285678480966E0
51	5.67999999999999972E8	7.06853904428788127E0
51	5.68999999999999950E8	7.05904391845887602E0
51	5.70000000000000018E8	7.04961760515837366E0
51	5.70999999999999996E8	7.04026023112530019E0
51	5.72000000000000064E8	7.03097192403333437E0
51	5.72999999999999954E8	7.02175281245680960E0
51	5.74000000000000021E8	7.01260302589040041E0
51	5.75000000000000000E8	7.00352269477793588E0
51	5.75999999999999979E8	6.99451195047332064E0
51	5.77000000000000046E8	6.98557092531914314E0
51	5.77999999999999936E8	6.97669975258629904E0
51	5.79000000000000004E8	6.96789856652913908E0
51	5.79999999999999982E8	6.95916750236748349E0
51	5.81000000000000050E8	6.95050669630086126E0
51	5.82000000000000028E8	6.94191628552915141E0
51	5.83000000000000007E8	6.93339640825541981E0
