freq	dB(S(2,1))
5.00000000000000000E8	8.17816368421607720E0
5.09999999999999964E8	8.01336075665435565E0
5.20000000000000018E8	7.85576473496470751E0
5.29999999999999982E8	7.70541695337745214E0
5.40000000000000036E8	7.56236555901676244E0
5.50000000000000000E8	7.42666609302064096E0
5.59999999999999964E8	7.29838207895999069E0
5.70000000000000018E8	7.17758562584344872E0
5.79999999999999982E8	7.06435805247077475E0
5.90000000000000036E8	6.95879053943199377E0
6.00000000000000000E8	6.86098481470884014E0
6.09999999999999964E8	6.77105387852198426E0
6.20000000000000018E8	6.68912277265768118E0
6.29999999999999982E8	6.61532939910518536E0
6.40000000000000036E8	6.54982539234376215E0
6.50000000000000000E8	6.49277704870492833E0
6.59999999999999964E8	6.44436631528576331E0
6.70000000000000018E8	6.40479183905045346E0
6.79999999999999982E8	6.37427007465095397E0
6.90000000000000036E8	6.35303644606804774E0
7.00000000000000000E8	6.34134655247405110E0
7.09999999999999964E8	6.33947740208713562E0
7.20000000000000018E8	6.34772864854637753E0
7.29999999999999982E8	6.36642379122429958E0
7.40000000000000036E8	6.39591128261997799E0
7.50000000000000000E8	6.43656546067203106E0
7.59999999999999964E8	6.48878718827054968E0
7.70000000000000018E8	6.55300403266452758E0
7.79999999999999982E8	6.62966974857750202E0
7.90000000000000036E8	6.71926273205658209E0
8.00000000000000000E8	6.82228297746069945E0
8.09999999999999964E8	6.93924688127493194E0
8.19999999999999929E8	7.07067897299802262E0
8.30000000000000071E8	7.21709928584071037E0
8.40000000000000036E8	7.37900456842532915E0
8.50000000000000000E8	7.55684083234218118E0
8.59999999999999964E8	7.75096376355829708E0
8.69999999999999929E8	7.96158222596335108E0
8.80000000000000071E8	8.18867838685872229E0
8.90000000000000036E8	8.43189587989924405E0
9.00000000000000000E8	8.69038501386473072E0
9.09999999999999964E8	8.96259179550170337E0
9.19999999999999929E8	9.24597660567750168E0
9.30000000000000071E8	9.53665119451151888E0
9.40000000000000036E8	9.82893381862481164E0
9.50000000000000000E8	1.01148492350149843E1
9.59999999999999964E8	1.03836523395247737E1
9.69999999999999929E8	1.06215374467534374E1
9.80000000000000071E8	1.08117971581598415E1
9.90000000000000036E8	1.09357601064122423E1
1.00000000000000000E9	1.09747536871458728E1
1.01000000000000001E9	1.09129899164423128E1
1.02000000000000002E9	1.07406984637795233E1
1.03000000000000003E9	1.04563726578160288E1
1.04000000000000004E9	1.00671311878316394E1
1.05000000000000004E9	9.58702270962049674E0
1.06000000000000005E9	9.03405470696097801E0
1.06999999999999984E9	8.42711928982672021E0
1.08000000000000007E9	7.78368366575079129E0
1.09000000000000008E9	7.11852484842407929E0
1.10000000000000009E9	6.44334642909679189E0
1.10999999999999988E9	5.76695270436660934E0
1.11999999999999988E9	5.09568575189508266E0
1.13000000000000012E9	4.43392973916715416E0
1.14000000000000012E9	3.78457920644993706E0
1.14999999999999991E9	3.14943040641029803E0
1.15999999999999992E9	2.52948906048459987E0
1.16999999999999993E9	1.92520335728749581E0
1.18000000000000016E9	1.33663599838807157E0
1.18999999999999995E9	7.63589068494443968E-1
1.19999999999999996E9	2.05693529527590613E-1
1.20999999999999996E9	-3.37527288682876137E-1
1.21999999999999997E9	-8.66613065804119032E-1
1.22999999999999998E9	-1.38213544193658056E0
1.23999999999999999E9	-1.88467667486544843E0
1.25000000000000000E9	-2.37481520646203670E0
1.26000000000000001E9	-2.85311612723491637E0
1.27000000000000002E9	-3.32012509839449788E0
1.28000000000000003E9	-3.77636470151761161E0
1.29000000000000004E9	-4.22233248086472823E0
1.30000000000000004E9	-4.65850015402131845E0
1.31000000000000005E9	-5.08531361770104873E0
1.31999999999999984E9	-5.50319348332307889E0
1.33000000000000007E9	-5.91253595434577228E0
1.34000000000000008E9	-6.31371391267168214E0
1.35000000000000009E9	-6.70707812094727629E0
1.35999999999999988E9	-7.09295847620680409E0
1.36999999999999988E9	-7.47166527048292117E0
1.38000000000000012E9	-7.84349042855488321E0
1.39000000000000012E9	-8.20870870354962356E0
1.39999999999999991E9	-8.56757881824819734E0
1.40999999999999992E9	-8.92034454527678200E0
1.41999999999999993E9	-9.26723572304839749E0
1.43000000000000016E9	-9.60846920669517601E0
1.43999999999999995E9	-9.94424975498883157E0
1.44999999999999996E9	-1.02747708554479500E1
1.45999999999999996E9	-1.06002154903599788E1
1.46999999999999997E9	-1.09207568470067007E1
1.47999999999999998E9	-1.12365589754968842E1
1.48999999999999999E9	-1.15477773976949183E1
1.50000000000000000E9	-1.18545596706490897E1


