freq	dB(S(2,2))
5.00000000000000000E8	-1.13148312707697030E0
5.09999999999999964E8	-1.11459731988404553E0
5.20000000000000018E8	-1.09888755434976693E0
5.29999999999999982E8	-1.08435831057766596E0
5.40000000000000036E8	-1.07101645523035471E0
5.50000000000000000E8	-1.05887183463343115E0
5.59999999999999964E8	-1.04793787180294284E0
5.70000000000000018E8	-1.03823218331221190E0
5.79999999999999982E8	-1.02977723241305386E0
5.90000000000000036E8	-1.02260103590225393E0
6.00000000000000000E8	-1.01673794386395211E0
6.09999999999999964E8	-1.01222951375326486E0
6.20000000000000018E8	-1.00912550350943953E0
6.29999999999999982E8	-1.00748501253556699E0
6.40000000000000036E8	-1.00737780472009208E0
6.50000000000000000E8	-1.00888585468717840E0
6.59999999999999964E8	-1.01210516716092358E0
6.70000000000000018E8	-1.01714793079785348E0
6.79999999999999982E8	-1.02414508211466826E0
6.90000000000000036E8	-1.03324937377551618E0
7.00000000000000000E8	-1.04463906539811213E0
7.09999999999999964E8	-1.05852238596882575E0
7.20000000000000018E8	-1.07514295714993846E0
7.29999999999999982E8	-1.09478641951234557E0
7.40000000000000036E8	-1.11778857316984337E0
7.50000000000000000E8	-1.14454543619684612E0
7.59999999999999964E8	-1.17552574713132429E0
7.70000000000000018E8	-1.21128660316170844E0
7.79999999999999982E8	-1.25249314934808376E0
7.90000000000000036E8	-1.29994354040817517E0
8.00000000000000000E8	-1.35460081788504327E0
8.09999999999999964E8	-1.41763393153584127E0
8.19999999999999929E8	-1.49047095567865950E0
8.30000000000000071E8	-1.57486871561196584E0
8.40000000000000036E8	-1.67300470667756662E0
8.50000000000000000E8	-1.78759960236032689E0
8.59999999999999964E8	-1.92208218755935523E0
8.69999999999999929E8	-2.08081381641113561E0
8.80000000000000071E8	-2.26939745012330318E0
8.90000000000000036E8	-2.49510859926552575E0
9.00000000000000000E8	-2.76750489834652846E0
9.09999999999999964E8	-3.09930274279584506E0
9.19999999999999929E8	-3.50766350000886984E0
9.30000000000000071E8	-4.01612937281933213E0
9.40000000000000036E8	-4.65763775530608193E0
9.50000000000000000E8	-5.47943917575143136E0
9.59999999999999964E8	-6.55165171287097525E0
9.69999999999999929E8	-7.98344460988637561E0
9.80000000000000071E8	-9.95676294980729004E0
9.90000000000000036E8	-1.28005453796876689E1
1.00000000000000000E9	-1.70667909807024243E1
1.01000000000000001E9	-2.10273435674252562E1
1.02000000000000002E9	-1.69504655980323449E1
1.03000000000000003E9	-1.25217451635147969E1
1.04000000000000004E9	-9.53956311872376617E0
1.05000000000000004E9	-7.45579945013424261E0
1.06000000000000005E9	-5.94040634801889311E0
1.06999999999999984E9	-4.80836932930597172E0
1.08000000000000007E9	-3.94638771430642921E0
1.09000000000000008E9	-3.28002972058748332E0
1.10000000000000009E9	-2.75812676059897122E0
1.10999999999999988E9	-2.34447779548586333E0
1.11999999999999988E9	-2.01297304217789508E0
1.13000000000000012E9	-1.74450898914039598E0
1.14000000000000012E9	-1.52494101003821103E0
1.14999999999999991E9	-1.34368346188451415E0
1.15999999999999992E9	-1.19273400476958180E0
1.16999999999999993E9	-1.06598436699560239E0
1.18000000000000016E9	-9.58728226071500167E-1
1.18999999999999995E9	-8.67306507395806747E-1
1.19999999999999996E9	-7.88849452512136562E-1
1.20999999999999996E9	-7.21087432845853904E-1
1.21999999999999997E9	-6.62211004673679415E-1
1.22999999999999998E9	-6.10766520108847111E-1
1.23999999999999999E9	-5.65577618269408422E-1
1.25000000000000000E9	-5.25685704084440530E-1
1.26000000000000001E9	-4.90304467998510773E-1
1.27000000000000002E9	-4.58784869524237227E-1
1.28000000000000003E9	-4.30587978485281653E-1
1.29000000000000004E9	-4.05263761124943489E-1
1.30000000000000004E9	-3.82434396462237425E-1
1.31000000000000005E9	-3.61781069364413366E-1
1.31999999999999984E9	-3.43033449939995405E-1
1.33000000000000007E9	-3.25961262265742491E-1
1.34000000000000008E9	-3.10367488452950813E-1
1.35000000000000009E9	-2.96082860472526699E-1
1.35999999999999988E9	-2.82961372090686947E-1
1.36999999999999988E9	-2.70876603398786608E-1
1.38000000000000012E9	-2.59718696148159189E-1
1.39000000000000012E9	-2.49391853105129924E-1
1.39999999999999991E9	-2.39812261367913715E-1
1.40999999999999992E9	-2.30906360390815690E-1
1.41999999999999993E9	-2.22609391594949502E-1
1.43000000000000016E9	-2.14864178978231868E-1
1.43999999999999995E9	-2.07620100055732903E-1
1.44999999999999996E9	-2.00832214295253264E-1
1.45999999999999996E9	-1.94460522338380537E-1
1.46999999999999997E9	-1.88469334288399626E-1
1.47999999999999998E9	-1.82826729262439880E-1
1.48999999999999999E9	-1.77504091590205992E-1
1.50000000000000000E9	-1.72475711589477831E-1


