optIter	freq	dB(S(1,1))[0, ::]
51	5.00000000000000000E8	-6.10889050099414810E-1
51	5.00999999999999979E8	-6.11148950875611696E-1
51	5.02000000000000046E8	-6.11413213989418658E-1
51	5.02999999999999936E8	-6.11681873794871578E-1
51	5.04000000000000004E8	-6.11954964833965409E-1
51	5.04999999999999982E8	-6.12232521838787758E-1
51	5.06000000000000050E8	-6.12514579726697050E-1
51	5.07000000000000028E8	-6.12801173616797357E-1
51	5.08000000000000007E8	-6.13092338824421113E-1
51	5.08999999999999986E8	-6.13388110864280822E-1
51	5.09999999999999964E8	-6.13688525460907641E-1
51	5.11000000000000032E8	-6.13993618544613096E-1
51	5.12000000000000011E8	-6.14303426255425133E-1
51	5.12999999999999989E8	-6.14617984951865814E-1
51	5.13999999999999968E8	-6.14937331215563798E-1
51	5.15000000000000036E8	-6.15261501838625868E-1
51	5.16000000000000014E8	-6.15590533859149147E-1
51	5.16999999999999993E8	-6.15924464526860227E-1
51	5.17999999999999972E8	-6.16263331341740006E-1
51	5.18999999999999950E8	-6.16607172029234185E-1
51	5.20000000000000018E8	-6.16956024561105298E-1
51	5.20999999999999996E8	-6.17309927159276839E-1
51	5.22000000000000064E8	-6.17668918289487401E-1
51	5.22999999999999954E8	-6.18033036676542213E-1
51	5.24000000000000021E8	-6.18402321302397695E-1
51	5.25000000000000000E8	-6.18776811408167937E-1
51	5.25999999999999979E8	-6.19156546506300920E-1
51	5.27000000000000046E8	-6.19541566374453012E-1
51	5.27999999999999936E8	-6.19931911073049235E-1
51	5.29000000000000004E8	-6.20327620936463475E-1
51	5.29999999999999982E8	-6.20728736586141228E-1
51	5.31000000000000050E8	-6.21135298924218304E-1
51	5.32000000000000028E8	-6.21547349160913143E-1
51	5.33000000000000007E8	-6.21964928792240812E-1
51	5.33999999999999986E8	-6.22388079621823298E-1
51	5.34999999999999964E8	-6.22816843753836924E-1
51	5.36000000000000032E8	-6.23251263614282713E-1
51	5.37000000000000011E8	-6.23691381940853251E-1
51	5.37999999999999989E8	-6.24137241789703534E-1
51	5.38999999999999968E8	-6.24588886547072697E-1
51	5.40000000000000036E8	-6.25046359936940998E-1
51	5.41000000000000014E8	-6.25509706007717625E-1
51	5.41999999999999993E8	-6.25978969159510967E-1
51	5.42999999999999972E8	-6.26454194132235909E-1
51	5.43999999999999950E8	-6.26935426030824594E-1
51	5.45000000000000018E8	-6.27422710301772657E-1
51	5.45999999999999996E8	-6.27916092768044809E-1
51	5.47000000000000064E8	-6.28415619613591403E-1
51	5.47999999999999954E8	-6.28921337401665603E-1
51	5.49000000000000021E8	-6.29433293073715650E-1
51	5.50000000000000000E8	-6.29951533956196918E-1
51	5.50999999999999979E8	-6.30476107772744410E-1
51	5.52000000000000046E8	-6.31007062636571359E-1
51	5.52999999999999936E8	-6.31544447066686310E-1
51	5.54000000000000004E8	-6.32088309994795150E-1
51	5.54999999999999982E8	-6.32638700769095408E-1
51	5.56000000000000050E8	-6.33195669155164875E-1
51	5.57000000000000028E8	-6.33759265347954237E-1
51	5.58000000000000007E8	-6.34329539980764601E-1
51	5.58999999999999986E8	-6.34906544126726047E-1
51	5.59999999999999964E8	-6.35490329304995250E-1
51	5.61000000000000032E8	-6.36080947485686643E-1
51	5.62000000000000011E8	-6.36678451105884502E-1
51	5.62999999999999989E8	-6.37282893071209777E-1
51	5.63999999999999968E8	-6.37894326756287455E-1
51	5.65000000000000036E8	-6.38512806020428236E-1
51	5.66000000000000014E8	-6.39138385210051929E-1
51	5.66999999999999993E8	-6.39771119174443736E-1
51	5.67999999999999972E8	-6.40411063257475544E-1
51	5.68999999999999950E8	-6.41058273319151439E-1
51	5.70000000000000018E8	-6.41712805732067615E-1
51	5.70999999999999996E8	-6.42374717407175311E-1
51	5.72000000000000064E8	-6.43044065773008811E-1
51	5.72999999999999954E8	-6.43720908807942038E-1
51	5.74000000000000021E8	-6.44405305042428989E-1
51	5.75000000000000000E8	-6.45097313554018115E-1
51	5.75999999999999979E8	-6.45796994004067404E-1
51	5.77000000000000046E8	-6.46504406604640014E-1
51	5.77999999999999936E8	-6.47219612167466796E-1
51	5.79000000000000004E8	-6.47942672084681526E-1
51	5.79999999999999982E8	-6.48673648353673471E-1
51	5.81000000000000050E8	-6.49412603581787007E-1
51	5.82000000000000028E8	-6.50159600988915543E-1
51	5.83000000000000007E8	-6.50914704419214907E-1
51	5.83999999999999986E8	-6.51677978354961418E-1
51	5.84999999999999964E8	-6.52449487922518667E-1
51	5.86000000000000032E8	-6.53229298902669164E-1
51	5.87000000000000011E8	-6.54017477738341402E-1
51	5.87999999999999989E8	-6.54814091548947452E-1
51	5.88999999999999968E8	-6.55619208130533515E-1
51	5.90000000000000036E8	-6.56432895976469588E-1
51	5.91000000000000014E8	-6.57255224281024919E-1
51	5.91999999999999993E8	-6.58086262953561008E-1
51	5.92999999999999972E8	-6.58926082626278387E-1
51	5.93999999999999950E8	-6.59774754665792251E-1
51	5.95000000000000018E8	-6.60632351184108302E-1
51	5.95999999999999996E8	-6.61498945043757480E-1
51	5.97000000000000064E8	-6.62374609887833365E-1
51	5.97999999999999954E8	-6.63259420119284826E-1
51	5.99000000000000021E8	-6.64153450944521673E-1
51	6.00000000000000000E8	-6.65056778367790979E-1
51	6.00999999999999979E8	-6.65969479199457659E-1
51	6.02000000000000046E8	-6.66891631088071080E-1
51	6.02999999999999936E8	-6.67823312510020894E-1
51	6.04000000000000004E8	-6.68764602787774542E-1
51	6.04999999999999982E8	-6.69715582114123009E-1
51	6.06000000000000050E8	-6.70676331552230565E-1
51	6.07000000000000028E8	-6.71646933050468320E-1
51	6.08000000000000007E8	-6.72627469465567529E-1
51	6.08999999999999986E8	-6.73618024559126738E-1
51	6.09999999999999964E8	-6.74618683022246834E-1
51	6.11000000000000032E8	-6.75629530494263353E-1
51	6.12000000000000011E8	-6.76650653554300430E-1
51	6.12999999999999989E8	-6.77682139771045478E-1
51	6.13999999999999968E8	-6.78724077679502713E-1
51	6.15000000000000036E8	-6.79776556816610888E-1
51	6.16000000000000014E8	-6.80839667741399701E-1
51	6.16999999999999993E8	-6.81913502027502183E-1
51	6.17999999999999972E8	-6.82998152305494521E-1
51	6.18999999999999950E8	-6.84093712251659714E-1
51	6.20000000000000018E8	-6.85200276626796700E-1
51	6.20999999999999996E8	-6.86317941276834009E-1
51	6.22000000000000064E8	-6.87446803164572184E-1
51	6.22999999999999954E8	-6.88586960360231082E-1
51	6.24000000000000021E8	-6.89738512089569245E-1
51	6.25000000000000000E8	-6.90901558730073084E-1
51	6.25999999999999979E8	-6.92076201833843907E-1
51	6.27000000000000046E8	-6.93262544147864457E-1
51	6.27999999999999936E8	-6.94460689631253292E-1
51	6.29000000000000004E8	-6.95670743472726638E-1
51	6.29999999999999982E8	-6.96892812108761195E-1
51	6.31000000000000050E8	-6.98127003235188415E-1
51	6.32000000000000028E8	-6.99373425851184205E-1
51	6.33000000000000007E8	-7.00632190247421960E-1
51	6.33999999999999986E8	-7.01903408042790389E-1
51	6.34999999999999964E8	-7.03187192208855905E-1
51	6.36000000000000032E8	-7.04483657075371106E-1
51	6.37000000000000011E8	-7.05792918369704481E-1
51	6.37999999999999989E8	-7.07115093224078706E-1
51	6.38999999999999968E8	-7.08450300195493377E-1
51	6.40000000000000036E8	-7.09798659303351265E-1
51	6.40999999999999925E8	-7.11160292037068320E-1
51	6.41999999999999993E8	-7.12535321380791231E-1
51	6.42999999999999972E8	-7.13923871849741154E-1
51	6.44000000000000039E8	-7.15326069501081019E-1
51	6.45000000000000018E8	-7.16742041956678921E-1
51	6.45999999999999908E8	-7.18171918429839184E-1
51	6.47000000000000064E8	-7.19615829767367998E-1
51	6.47999999999999954E8	-7.21073908439693323E-1
51	6.49000000000000021E8	-7.22546288606283049E-1
51	6.50000000000000000E8	-7.24033106105518964E-1
51	6.50999999999999979E8	-7.25534498510411474E-1
51	6.52000000000000046E8	-7.27050605136900074E-1
51	6.52999999999999936E8	-7.28581567081376669E-1
51	6.54000000000000092E8	-7.30127527245953267E-1
51	6.54999999999999982E8	-7.31688630362058312E-1
51	6.55999999999999961E8	-7.33265023040676134E-1
51	6.57000000000000028E8	-7.34856853763843532E-1
51	6.58000000000000007E8	-7.36464272952880705E-1
51	6.59000000000000075E8	-7.38087432970570223E-1
51	6.59999999999999964E8	-7.39726488182773778E-1
51	6.60999999999999943E8	-7.41381594959454837E-1
51	6.62000000000000011E8	-7.43052911721238551E-1
51	6.62999999999999989E8	-7.44740598976106050E-1
51	6.64000000000000057E8	-7.46444819356010925E-1
51	6.65000000000000036E8	-7.48165737624472271E-1
51	6.65999999999999925E8	-7.49903520750102803E-1
51	6.66999999999999993E8	-7.51658337913616315E-1
51	6.67999999999999972E8	-7.53430360559642587E-1
51	6.69000000000000039E8	-7.55219762423008412E-1
51	6.70000000000000018E8	-7.57026719577194473E-1
51	6.70999999999999908E8	-7.58851410457654918E-1
51	6.72000000000000064E8	-7.60694015929871270E-1
51	6.72999999999999954E8	-7.62554719280967763E-1
51	6.74000000000000021E8	-7.64433706308118133E-1
51	6.75000000000000000E8	-7.66331165342071152E-1
51	6.75999999999999979E8	-7.68247287277080737E-1
51	6.77000000000000046E8	-7.70182265643977093E-1
51	6.77999999999999936E8	-7.72136296602657524E-1
51	6.79000000000000092E8	-7.74109579053821495E-1
51	6.79999999999999982E8	-7.76102314621472367E-1
51	6.80999999999999961E8	-7.78114707752702905E-1
51	6.82000000000000028E8	-7.80146965713476881E-1
51	6.83000000000000007E8	-7.82199298688502509E-1
51	6.84000000000000075E8	-7.84271919783545801E-1
51	6.84999999999999964E8	-7.86365045114233041E-1
51	6.85999999999999943E8	-7.88478893827516636E-1
51	6.87000000000000011E8	-7.90613688166626538E-1
51	6.87999999999999989E8	-7.92769653533011365E-1
51	6.89000000000000057E8	-7.94947018523710192E-1
51	6.90000000000000036E8	-7.97146014994071805E-1
51	6.90999999999999925E8	-7.99366878119667668E-1
51	6.91999999999999993E8	-8.01609846446941532E-1
51	6.92999999999999972E8	-8.03875161941044958E-1
