freq	dB(S(1,2))
5.00000000000000000E8	-2.66829796694206900E1
5.00999999999999979E8	-2.66673160494966011E1
5.02000000000000046E8	-2.66516432198779318E1
5.02999999999999936E8	-2.66359609162809097E1
5.04000000000000004E8	-2.66202688751133776E1
5.04999999999999982E8	-2.66045668334441299E1
5.06000000000000050E8	-2.65888545289988931E1
5.07000000000000028E8	-2.65731317001255940E1
5.08000000000000007E8	-2.65573980858018910E1
5.08999999999999986E8	-2.65416534256127168E1
5.09999999999999964E8	-2.65258974597217057E1
5.11000000000000032E8	-2.65101299288778103E1
5.12000000000000011E8	-2.64943505743834784E1
5.12999999999999989E8	-2.64785591380884222E1
5.13999999999999968E8	-2.64627553623738487E1
5.15000000000000036E8	-2.64469389901366725E1
5.16000000000000014E8	-2.64311097647698645E1
5.16999999999999993E8	-2.64152674301569368E1
5.17999999999999972E8	-2.63994117306613951E1
5.18999999999999950E8	-2.63835424110865979E1
5.20000000000000018E8	-2.63676592167000878E1
5.20999999999999996E8	-2.63517618931826503E1
5.22000000000000064E8	-2.63358501866380390E1
5.22999999999999954E8	-2.63199238435729965E1
5.24000000000000021E8	-2.63039826108780783E1
5.25000000000000000E8	-2.62880262358136463E1
5.25999999999999979E8	-2.62720544660108990E1
5.27000000000000046E8	-2.62560670494373793E1
5.27999999999999936E8	-2.62400637343928134E1
5.29000000000000004E8	-2.62240442694955300E1
5.29999999999999982E8	-2.62080084036809469E1
5.31000000000000050E8	-2.61919558861534840E1
5.32000000000000028E8	-2.61758864664150126E1
5.33000000000000007E8	-2.61597998942177812E1
5.33999999999999986E8	-2.61436959195708063E1
5.34999999999999964E8	-2.61275742927201016E1
5.36000000000000032E8	-2.61114347641370559E1
5.37000000000000011E8	-2.60952770844986803E1
5.37999999999999989E8	-2.60791010046854321E1
5.38999999999999968E8	-2.60629062757536234E1
5.40000000000000036E8	-2.60466926489423578E1
5.41000000000000014E8	-2.60304598756346728E1
5.41999999999999993E8	-2.60142077073707911E1
5.42999999999999972E8	-2.59979358958103512E1
5.43999999999999950E8	-2.59816441927445352E1
5.45000000000000018E8	-2.59653323500603994E1
5.45999999999999996E8	-2.59490001197457554E1
5.47000000000000064E8	-2.59326472538588648E1
5.47999999999999954E8	-2.59162735045351944E1
5.49000000000000021E8	-2.58998786239515022E1
5.50000000000000000E8	-2.58834623643406125E1
5.50999999999999979E8	-2.58670244779513947E1
5.52000000000000046E8	-2.58505647170549180E1
5.52999999999999936E8	-2.58340828339221762E1
5.54000000000000004E8	-2.58175785808201219E1
5.54999999999999982E8	-2.58010517099808867E1
5.56000000000000050E8	-2.57845019736141667E1
5.57000000000000028E8	-2.57679291238734942E1
5.58000000000000007E8	-2.57513329128628721E1
5.58999999999999986E8	-2.57347130925916767E1
5.59999999999999964E8	-2.57180694150082356E1
5.61000000000000032E8	-2.57014016319461636E1
5.62000000000000011E8	-2.56847094951313970E1
5.62999999999999989E8	-2.56679927561724464E1
5.63999999999999968E8	-2.56512511665310949E1
5.65000000000000036E8	-2.56344844775350911E1
5.66000000000000014E8	-2.56176924403294937E1
5.66999999999999993E8	-2.56008748059097968E1
5.67999999999999972E8	-2.55840313250694429E1
5.68999999999999950E8	-2.55671617484028335E1
5.70000000000000018E8	-2.55502658262973181E1
5.70999999999999996E8	-2.55333433089215323E1
5.72000000000000064E8	-2.55163939461969580E1
5.72999999999999954E8	-2.54994174878061797E1
5.74000000000000021E8	-2.54824136831628056E1
5.75000000000000000E8	-2.54653822814035324E1
5.75999999999999979E8	-2.54483230313926612E1
5.77000000000000046E8	-2.54312356816779905E1
5.77999999999999936E8	-2.54141199805084028E1
5.79000000000000004E8	-2.53969756758050069E1
5.79999999999999982E8	-2.53798025151506268E1
5.81000000000000050E8	-2.53626002457773003E1
5.82000000000000028E8	-2.53453686145623136E1
5.83000000000000007E8	-2.53281073679998459E1
5.83999999999999986E8	-2.53108162522035407E1
5.84999999999999964E8	-2.52934950128782976E1
5.86000000000000032E8	-2.52761433953331061E1
5.87000000000000011E8	-2.52587611444347582E1
5.87999999999999989E8	-2.52413480046240535E1
5.88999999999999968E8	-2.52239037198856542E1
5.90000000000000036E8	-2.52064280337451097E1
5.91000000000000014E8	-2.51889206892445605E1
5.91999999999999993E8	-2.51713814289545201E1
5.92999999999999972E8	-2.51538099949225114E1
5.93999999999999950E8	-2.51362061287048677E1
5.95000000000000018E8	-2.51185695713120305E1
5.95999999999999996E8	-2.51009000632300294E1
5.97000000000000064E8	-2.50831973443799461E1
5.97999999999999954E8	-2.50654611541253169E1
5.99000000000000021E8	-2.50476912312523670E1
6.00000000000000000E8	-2.50298873139487998E1
6.00999999999999979E8	-2.50120491398117339E1
6.02000000000000046E8	-2.49941764458110205E1
6.02999999999999936E8	-2.49762689682905004E1
6.04000000000000004E8	-2.49583264429447160E1
6.04999999999999982E8	-2.49403486048254752E1
6.06000000000000050E8	-2.49223351883042099E1
6.07000000000000028E8	-2.49042859270766215E1
6.08000000000000007E8	-2.48862005541410314E1
6.08999999999999986E8	-2.48680788017817234E1
6.09999999999999964E8	-2.48499204015689878E1
6.11000000000000032E8	-2.48317250843385740E1
6.12000000000000011E8	-2.48134925801723316E1
6.12999999999999989E8	-2.47952226183910751E1
6.13999999999999968E8	-2.47769149275456391E1
6.15000000000000036E8	-2.47585692353949094E1
6.16000000000000014E8	-2.47401852688969237E1
6.16999999999999993E8	-2.47217627541869112E1
6.17999999999999972E8	-2.47033014165773412E1
6.18999999999999950E8	-2.46848009805422519E1
6.20000000000000018E8	-2.46662611696947831E1
6.20999999999999996E8	-2.46476817067682497E1
6.22000000000000064E8	-2.46290623136306053E1
6.22999999999999954E8	-2.46104027112341806E1
6.24000000000000021E8	-2.45917026196306132E1
6.25000000000000000E8	-2.45729617579434345E1
6.25999999999999979E8	-2.45541798443488668E1
6.27000000000000046E8	-2.45353565960882269E1
6.27999999999999936E8	-2.45164917294105233E1
6.29000000000000004E8	-2.44975849596055228E1
6.29999999999999982E8	-2.44786360009456461E1
6.31000000000000050E8	-2.44596445667077811E1
6.32000000000000028E8	-2.44406103691409538E1
6.33000000000000007E8	-2.44215331194515661E1
6.33999999999999986E8	-2.44024125277919746E1
6.34999999999999964E8	-2.43832483032472558E1
6.36000000000000032E8	-2.43640401538327511E1
6.37000000000000011E8	-2.43447877864346607E1
6.37999999999999989E8	-2.43254909068641823E1
6.38999999999999968E8	-2.43061492197815143E1
6.40000000000000036E8	-2.42867624287066652E1
6.40999999999999925E8	-2.42673302360212295E1
6.41999999999999993E8	-2.42478523429042081E1
6.42999999999999972E8	-2.42283284493825724E1
6.44000000000000039E8	-2.42087582542553248E1
6.45000000000000018E8	-2.41891414551139317E1
6.45999999999999908E8	-2.41694777483275347E1
6.47000000000000064E8	-2.41497668290024325E1
6.47999999999999954E8	-2.41300083909817564E1
6.49000000000000021E8	-2.41102021268460343E1
6.50000000000000000E8	-2.40903477278663081E1
6.50999999999999979E8	-2.40704448840137797E1
6.52000000000000046E8	-2.40504932839303853E1
6.52999999999999936E8	-2.40304926149205000E1
6.54000000000000092E8	-2.40104425629261398E1
6.54999999999999982E8	-2.39903428125213480E1
6.55999999999999961E8	-2.39701930468923674E1
6.57000000000000028E8	-2.39499929478143381E1
6.58000000000000007E8	-2.39297421956553302E1
6.59000000000000075E8	-2.39094404693295415E1
6.59999999999999964E8	-2.38890874463116054E1
6.60999999999999943E8	-2.38686828025980846E1
6.62000000000000011E8	-2.38482262127035449E1
6.62999999999999989E8	-2.38277173496412376E1
6.64000000000000057E8	-2.38071558849052112E1
6.65000000000000036E8	-2.37865414884502346E1
6.65999999999999925E8	-2.37658738286815829E1
6.66999999999999993E8	-2.37451525724358659E1
6.67999999999999972E8	-2.37243773849570871E1
6.69000000000000039E8	-2.37035479298953566E1
6.70000000000000018E8	-2.36826638692771718E1
6.70999999999999908E8	-2.36617248634882005E1
6.72000000000000064E8	-2.36407305712650118E1
6.72999999999999954E8	-2.36196806496715039E1
6.74000000000000021E8	-2.35985747540745772E1
6.75000000000000000E8	-2.35774125381407096E1
6.75999999999999979E8	-2.35561936538203165E1
6.77000000000000046E8	-2.35349177513014141E1
6.77999999999999936E8	-2.35135844790275295E1
6.79000000000000092E8	-2.34921934836643320E1
6.79999999999999982E8	-2.34707444100754570E1
6.80999999999999961E8	-2.34492369013174651E1
6.82000000000000028E8	-2.34276705986128597E1
6.83000000000000007E8	-2.34060451413302761E1
6.84000000000000075E8	-2.33843601669757373E1
6.84999999999999964E8	-2.33626153111742463E1
6.85999999999999943E8	-2.33408102076433988E1
6.87000000000000011E8	-2.33189444881597296E1
6.87999999999999989E8	-2.32970177825948488E1
6.89000000000000057E8	-2.32750297188293587E1
6.90000000000000036E8	-2.32529799227818534E1
6.90999999999999925E8	-2.32308680183646876E1
6.91999999999999993E8	-2.32086936274789846E1
6.92999999999999972E8	-2.31864563700028681E1
6.94000000000000039E8	-2.31641558637321543E1
6.95000000000000018E8	-2.31417917244208393E1
6.95999999999999908E8	-2.31193635657082597E1
6.97000000000000064E8	-2.30968709991420917E1
6.97999999999999954E8	-2.30743136341266597E1
6.99000000000000021E8	-2.30516910779230955E1
7.00000000000000000E8	-2.30290029356206061E1
7.00999999999999979E8	-2.30062488101267970E1
7.02000000000000046E8	-2.29834283021385088E1
7.02999999999999936E8	-2.29605410101230811E1
7.04000000000000092E8	-2.29375865303099813E1
7.04999999999999982E8	-2.29145644566554507E1
7.05999999999999961E8	-2.28914743808390231E1
7.07000000000000028E8	-2.28683158922288232E1
7.08000000000000007E8	-2.28450885778739021E1
7.09000000000000075E8	-2.28217920224711923E1
7.09999999999999964E8	-2.27984258083611158E1
7.10999999999999943E8	-2.27749895155024618E1
7.12000000000000011E8	-2.27514827214542725E1
7.12999999999999989E8	-2.27279050013342410E1
7.14000000000000057E8	-2.27042559278411948E1
7.15000000000000036E8	-2.26805350711958376E1
7.15999999999999925E8	-2.26567419991347530E1
7.16999999999999993E8	-2.26328762769162584E1
7.17999999999999972E8	-2.26089374672485022E1
7.19000000000000039E8	-2.25849251303134579E1
7.20000000000000018E8	-2.25608388237310553E1
7.20999999999999908E8	-2.25366781025323615E1
7.22000000000000064E8	-2.25124425191647548E1
7.22999999999999954E8	-2.24881316234370487E1
7.24000000000000021E8	-2.24637449625273966E1
7.25000000000000000E8	-2.24392820809557003E1
7.25999999999999979E8	-2.24147425205560058E1
7.27000000000000046E8	-2.23901258204662001E1
7.27999999999999936E8	-2.23654315171255558E1
7.29000000000000092E8	-2.23406591441940083E1
7.29999999999999982E8	-2.23158082326252227E1
7.30999999999999961E8	-2.22908783105500818E1
7.32000000000000028E8	-2.22658689033507606E1
7.33000000000000007E8	-2.22407795335563918E1
7.34000000000000075E8	-2.22156097208925507E1
7.34999999999999964E8	-2.21903589822157388E1
7.35999999999999943E8	-2.21650268315264309E1
7.37000000000000011E8	-2.21396127799201681E1
7.37999999999999989E8	-2.21141163356095571E1
7.39000000000000057E8	-2.20885370038727258E1
7.40000000000000036E8	-2.20628742870315087E1
7.40999999999999925E8	-2.20371276844829689E1
7.41999999999999993E8	-2.20112966926085463E1
7.42999999999999972E8	-2.19853808048286226E1
7.44000000000000039E8	-2.19593795115348023E1
7.45000000000000018E8	-2.19332923000926527E1
7.45999999999999908E8	-2.19071186548391772E1
7.47000000000000064E8	-2.18808580570289823E1
7.47999999999999954E8	-2.18545099848664437E1
7.49000000000000021E8	-2.18280739134456114E1
7.50000000000000000E8	-2.18015493147674322E1
7.50999999999999979E8	-2.17749356576923736E1
7.52000000000000046E8	-2.17482324079793488E1
7.52999999999999936E8	-2.17214390282133696E1
7.54000000000000092E8	-2.16945549778291102E1
7.54999999999999982E8	-2.16675797130710102E1
7.55999999999999961E8	-2.16405126870287123E1
7.57000000000000028E8	-2.16133533495606045E1
7.58000000000000007E8	-2.15861011473253539E1
7.59000000000000075E8	-2.15587555237684780E1
7.59999999999999964E8	-2.15313159190871373E1
7.60999999999999943E8	-2.15037817702465306E1
7.62000000000000011E8	-2.14761525109756546E1
7.62999999999999989E8	-2.14484275717187423E1
7.64000000000000057E8	-2.14206063796634627E1
7.65000000000000036E8	-2.13926883587250138E1
7.65999999999999925E8	-2.13646729295470861E1
7.66999999999999993E8	-2.13365595094829086E1
7.67999999999999972E8	-2.13083475125811894E1
7.69000000000000039E8	-2.12800363496200040E1
7.70000000000000018E8	-2.12516254280790307E1
7.70999999999999908E8	-2.12231141521183853E1
7.72000000000000064E8	-2.11945019226312548E1
7.72999999999999954E8	-2.11657881371863077E1
7.74000000000000021E8	-2.11369721900727958E1
7.75000000000000000E8	-2.11080534722740154E1
7.75999999999999979E8	-2.10790313714960220E1
7.77000000000000046E8	-2.10499052721504576E1
7.77999999999999936E8	-2.10206745553806984E1
7.79000000000000092E8	-2.09913385990305912E1
7.79999999999999982E8	-2.09618967777297183E1
7.80999999999999961E8	-2.09323484628132661E1
7.82000000000000028E8	-2.09026930223954155E1
7.83000000000000007E8	-2.08729298213589320E1
7.84000000000000075E8	-2.08430582213987403E1
7.84999999999999964E8	-2.08130775809806012E1
7.85999999999999943E8	-2.07829872554175532E1
7.87000000000000011E8	-2.07527865968715330E1
7.87999999999999989E8	-2.07224749543527675E1
7.89000000000000057E8	-2.06920516737851390E1
7.90000000000000036E8	-2.06615160980175760E1
7.90999999999999925E8	-2.06308675668339303E1
7.91999999999999993E8	-2.06001054170034914E1
7.92999999999999972E8	-2.05692289823233843E1
7.94000000000000039E8	-2.05382375936165884E1
7.95000000000000018E8	-2.05071305788166436E1
7.95999999999999908E8	-2.04759072629886463E1
7.97000000000000064E8	-2.04445669683663445E1
7.97999999999999954E8	-2.04131090144078353E1
7.99000000000000021E8	-2.03815327178514138E1
8.00000000000000000E8	-2.03498373927463216E1
8.00999999999999979E8	-2.03180223505514856E1
8.01999999999999957E8	-2.02860869001452881E1
8.02999999999999936E8	-2.02540303479241501E1
8.04000000000000092E8	-2.02218519978680078E1
8.05000000000000071E8	-2.01895511515793880E1
8.05999999999999872E8	-2.01571271083929959E1
8.07000000000000028E8	-2.01245791654694361E1
8.08000000000000007E8	-2.00919066177976502E1
8.08999999999999986E8	-2.00591087583858263E1
8.09999999999999964E8	-2.00261848782806151E1
8.10999999999999943E8	-1.99931342666901091E1
8.12000000000000099E8	-1.99599562111075945E1
8.12999999999999901E8	-1.99266499973581834E1
8.14000000000000057E8	-1.98932149097831901E1
8.15000000000000036E8	-1.98596502313074619E1
8.16000000000000014E8	-1.98259552435798203E1
8.16999999999999993E8	-1.97921292271254923E1
8.17999999999999972E8	-1.97581714614196247E1
8.19000000000000128E8	-1.97240812251143471E1
8.19999999999999929E8	-1.96898577961089360E1
8.20999999999999908E8	-1.96555004517846754E1
8.22000000000000064E8	-1.96210084690633413E1
8.23000000000000043E8	-1.95863811247058495E1
8.24000000000000021E8	-1.95516176953801479E1
8.25000000000000000E8	-1.95167174579056812E1
8.25999999999999979E8	-1.94816796894515920E1
8.26999999999999957E8	-1.94465036677174075E1
8.27999999999999936E8	-1.94111886711392367E1
8.29000000000000092E8	-1.93757339791472205E1
8.30000000000000071E8	-1.93401388723778522E1
8.30999999999999872E8	-1.93044026328940288E1
8.32000000000000028E8	-1.92685245444917319E1
8.33000000000000007E8	-1.92325038929135905E1
8.33999999999999986E8	-1.91963399661219070E1
8.34999999999999964E8	-1.91600320546544656E1
8.35999999999999943E8	-1.91235794518399116E1
8.37000000000000099E8	-1.90869814541518190E1
8.37999999999999901E8	-1.90502373615079001E1
8.39000000000000057E8	-1.90133464776455829E1
8.40000000000000036E8	-1.89763081104453102E1
8.41000000000000014E8	-1.89391215723145767E1
8.41999999999999993E8	-1.89017861805464316E1
8.42999999999999972E8	-1.88643012577042701E1
8.44000000000000128E8	-1.88266661321209949E1
8.44999999999999929E8	-1.87888801381999859E1
8.45999999999999908E8	-1.87509426169952720E1
8.47000000000000064E8	-1.87128529165443114E1
8.48000000000000043E8	-1.86746103924938955E1
8.49000000000000021E8	-1.86362144084687320E1
8.50000000000000000E8	-1.85976643366922478E1
8.50999999999999979E8	-1.85589595585045442E1
8.51999999999999957E8	-1.85200994648727990E1
8.52999999999999936E8	-1.84810834571018101E1
8.54000000000000092E8	-1.84419109473146081E1
8.55000000000000071E8	-1.84025813591522147E1
8.55999999999999872E8	-1.83630941284756344E1
8.57000000000000028E8	-1.83234487039686011E1
8.58000000000000007E8	-1.82836445479012855E1
8.58999999999999986E8	-1.82436811368864715E1
8.59999999999999964E8	-1.82035579625866939E1
8.60999999999999943E8	-1.81632745325562373E1
8.62000000000000099E8	-1.81228303711411520E1
8.62999999999999901E8	-1.80822250201788259E1
8.64000000000000057E8	-1.80414580400557401E1
8.65000000000000036E8	-1.80005290105390148E1
8.66000000000000014E8	-1.79594375317673527E1
8.66999999999999993E8	-1.79181832253065432E1
8.67999999999999972E8	-1.78767657350991049E1
8.69000000000000128E8	-1.78351847286133447E1
8.69999999999999929E8	-1.77934398979429576E1
8.70999999999999908E8	-1.77515309609559102E1
8.72000000000000064E8	-1.77094576625159017E1
8.73000000000000043E8	-1.76672197757769434E1
8.74000000000000021E8	-1.76248171033861567E1
8.75000000000000000E8	-1.75822494788896089E1
8.75999999999999979E8	-1.75395167681432373E1
8.76999999999999957E8	-1.74966188707523740E1
8.77999999999999936E8	-1.74535557215052539E1
8.79000000000000092E8	-1.74103272920522723E1
8.80000000000000071E8	-1.73669335924315216E1
8.80999999999999872E8	-1.73233746727237969E1
8.82000000000000028E8	-1.72796506248804316E1
8.83000000000000007E8	-1.72357615843954770E1
8.83999999999999986E8	-1.71917077322975720E1
8.84999999999999964E8	-1.71474892970078185E1
8.85999999999999943E8	-1.71031065562658435E1
8.87000000000000099E8	-1.70585598393322191E1
8.87999999999999901E8	-1.70138495290313796E1
8.89000000000000057E8	-1.69689760640011711E1
8.90000000000000036E8	-1.69239399409907998E1
8.91000000000000014E8	-1.68787417172063203E1
8.91999999999999993E8	-1.68333820127848810E1
8.92999999999999972E8	-1.67878615133558351E1
8.94000000000000128E8	-1.67421809725428017E1
8.94999999999999929E8	-1.66963412148747103E1
8.95999999999999908E8	-1.66503431384302525E1
8.97000000000000064E8	-1.66041877178094421E1
8.98000000000000043E8	-1.65578760071454623E1
8.99000000000000021E8	-1.65114091431520515E1
9.00000000000000000E8	-1.64647883482956869E1
9.00999999999999979E8	-1.64180149342575388E1
9.01999999999999957E8	-1.63710903051249868E1
9.02999999999999936E8	-1.63240159610861602E1
9.04000000000000092E8	-1.62767935020060373E1
9.05000000000000071E8	-1.62294246311005708E1
9.05999999999999872E8	-1.61819111588788500E1
9.07000000000000028E8	-1.61342550071342172E1
9.08000000000000007E8	-1.60864582130336475E1
9.08999999999999986E8	-1.60385229332703227E1
9.09999999999999964E8	-1.59904514485404192E1
9.10999999999999943E8	-1.59422461678607896E1
9.12000000000000099E8	-1.58939096334123908E1
9.12999999999999901E8	-1.58454445250077303E1
9.14000000000000057E8	-1.57968536652079727E1
9.15000000000000036E8	-1.57481400241694991E1
9.16000000000000014E8	-1.56993067248491958E1
9.16999999999999993E8	-1.56503570482665055E1
9.17999999999999972E8	-1.56012944389285146E1
9.19000000000000128E8	-1.55521225103911309E1
9.19999999999999929E8	-1.55028450509654947E1
9.20999999999999908E8	-1.54534660294475401E1
9.22000000000000064E8	-1.54039896012015043E1
9.23000000000000043E8	-1.53544201141668646E1
9.24000000000000021E8	-1.53047621151720659E1
9.25000000000000000E8	-1.52550203562809217E1
9.25999999999999979E8	-1.52051998011362355E1
9.26999999999999957E8	-1.51553056317518231E1
9.27999999999999936E8	-1.51053432552467570E1
9.29000000000000092E8	-1.50553183105704025E1
9.30000000000000071E8	-1.50052366755552735E1
9.30999999999999872E8	-1.49551044739495542E1
9.32000000000000028E8	-1.49049280826384800E1
9.33000000000000007E8	-1.48547141387575610E1
9.33999999999999986E8	-1.48044695472827881E1
9.34999999999999964E8	-1.47542014881309003E1
9.35999999999999943E8	-1.47039174238744441E1
9.37000000000000099E8	-1.46536251070748014E1
9.37999999999999901E8	-1.46033325879956855E1
9.39000000000000057E8	-1.45530482219989854E1
9.40000000000000036E8	-1.45027806771803780E1
9.41000000000000014E8	-1.44525389419344075E1
9.41999999999999993E8	-1.44023323324156860E1
9.42999999999999972E8	-1.43521705000683975E1
9.44000000000000128E8	-1.43020634388702161E1
9.44999999999999929E8	-1.42520214927636268E1
9.45999999999999908E8	-1.42020553625706203E1
9.47000000000000064E8	-1.41521761131421631E1
9.48000000000000043E8	-1.41023951801134051E1
9.49000000000000021E8	-1.40527243763824217E1
9.50000000000000000E8	-1.40031758984146237E1
9.50999999999999979E8	-1.39537623323586213E1
9.51999999999999957E8	-1.39044966595183550E1
9.52999999999999936E8	-1.38553922618532366E1
9.54000000000000092E8	-1.38064629267204153E1
9.55000000000000071E8	-1.37577228512239302E1
9.55999999999999872E8	-1.37091866464070922E1
9.57000000000000028E8	-1.36608693400623249E1
9.58000000000000007E8	-1.36127863800821336E1
9.58999999999999986E8	-1.35649536358872846E1
9.59999999999999964E8	-1.35173874003178396E1
9.60999999999999943E8	-1.34701043896882111E1
9.62000000000000099E8	-1.34231217439461559E1
9.62999999999999901E8	-1.33764570249853398E1
9.64000000000000057E8	-1.33301282149824707E1
9.65000000000000036E8	-1.32841537128804066E1
9.66000000000000014E8	-1.32385523303413488E1
9.66999999999999993E8	-1.31933432861352551E1
9.67999999999999972E8	-1.31485461994849229E1
9.69000000000000128E8	-1.31041810825350358E1
9.69999999999999929E8	-1.30602683306449596E1
9.70999999999999908E8	-1.30168287119939952E1
9.72000000000000064E8	-1.29738833553977750E1
9.73000000000000043E8	-1.29314537367049809E1
9.74000000000000021E8	-1.28895616636103161E1
9.75000000000000000E8	-1.28482292589640523E1
9.75999999999999979E8	-1.28074789419288693E1
9.76999999999999957E8	-1.27673334083989554E1
9.77999999999999936E8	-1.27278156083917660E1
9.79000000000000092E8	-1.26889487231626119E1
9.80000000000000071E8	-1.26507561389956202E1
9.80999999999999872E8	-1.26132614203099713E1
9.82000000000000028E8	-1.25764882808109957E1
9.83000000000000007E8	-1.25404605520126955E1
9.83999999999999986E8	-1.25052021513134481E1
9.84999999999999964E8	-1.24707370470134071E1
9.85999999999999943E8	-1.24370892225437668E1
9.87000000000000099E8	-1.24042826384855331E1
9.87999999999999901E8	-1.23723411933715255E1
9.89000000000000057E8	-1.23412886825944224E1
9.90000000000000036E8	-1.23111487561018573E1
9.91000000000000014E8	-1.22819448746838189E1
9.91999999999999993E8	-1.22537002651235016E1
9.92999999999999972E8	-1.22264378742131208E1
9.94000000000000128E8	-1.22001803214671201E1
9.94999999999999929E8	-1.21749498517305321E1
9.95999999999999908E8	-1.21507682867617839E1
9.97000000000000064E8	-1.21276569760218611E1
9.98000000000000043E8	-1.21056367481219418E1
9.99000000000000021E8	-1.20847278614355758E1
1.00000000000000000E9	-1.20649499551067496E1
1.00099999999999989E9	-1.20463220006363891E1
1.00200000000000000E9	-1.20288622537937040E1
1.00299999999999989E9	-1.20125882076099910E1
1.00400000000000000E9	-1.19975165463558686E1
1.00500000000000012E9	-1.19836631007953387E1
1.00599999999999978E9	-1.19710428052094309E1
1.00700000000000012E9	-1.19596696557182569E1
1.00800000000000001E9	-1.19495566714706736E1
1.00899999999999990E9	-1.19407158570421390E1
1.01000000000000001E9	-1.19331581684444399E1
1.01099999999999990E9	-1.19268934804850257E1
1.01200000000000001E9	-1.19219305583965185E1
1.01299999999999990E9	-1.19182770311186936E1
1.01400000000000001E9	-1.19159393691476190E1
1.01500000000000012E9	-1.19149228645022109E1
1.01600000000000001E9	-1.19152316149318738E1
1.01699999999999990E9	-1.19168685111647132E1
1.01800000000000002E9	-1.19198352287164755E1
1.01900000000000013E9	-1.19241322220356150E1
1.02000000000000002E9	-1.19297587233140012E1
1.02099999999999991E9	-1.19367127450664312E1
1.02200000000000002E9	-1.19449910859170449E1
1.02300000000000013E9	-1.19545893404992398E1
1.02400000000000002E9	-1.19655019125237239E1
1.02499999999999991E9	-1.19777220322965006E1
1.02600000000000002E9	-1.19912417764848889E1
1.02699999999999991E9	-1.20060520918133129E1
1.02800000000000002E9	-1.20221428222462889E1
1.02900000000000014E9	-1.20395027384711417E1
1.03000000000000003E9	-1.20581195705570376E1
1.03099999999999992E9	-1.20779800432600348E1
1.03200000000000003E9	-1.20990699135909585E1
1.03299999999999992E9	-1.21213740106804346E1
1.03400000000000003E9	-1.21448762775538399E1
1.03499999999999992E9	-1.21695598147736006E1
1.03600000000000003E9	-1.21954069252188924E1
1.03700000000000014E9	-1.22223991606971505E1
1.03799999999999981E9	-1.22505173691008684E1
1.03900000000000015E9	-1.22797417425738176E1
1.04000000000000004E9	-1.23100518661649905E1
1.04099999999999993E9	-1.23414267669278632E1
1.04200000000000004E9	-1.23738449627702995E1
