freq	dB(S(2,1))
5.00000000000000000E8	1.31996797435765667E1
5.00999999999999979E8	1.31850064630379649E1
5.02000000000000046E8	1.31703638550125235E1
5.02999999999999936E8	1.31557518677359053E1
5.04000000000000004E8	1.31411704493642389E1
5.04999999999999982E8	1.31266195479771541E1
5.06000000000000050E8	1.31120991116260854E1
5.07000000000000028E8	1.30976090882600560E1
5.08000000000000007E8	1.30831494258089998E1
5.08999999999999986E8	1.30687200721367924E1
5.09999999999999964E8	1.30543209750732969E1
5.11000000000000032E8	1.30399520824078774E1
5.12000000000000011E8	1.30256133419012499E1
5.12999999999999989E8	1.30113047012824445E1
5.13999999999999968E8	1.29970261082499938E1
5.15000000000000036E8	1.29827775105084875E1
5.16000000000000014E8	1.29685588557176490E1
5.16999999999999993E8	1.29543700915451443E1
5.17999999999999972E8	1.29402111656400476E1
5.18999999999999950E8	1.29260820256652331E1
5.20000000000000018E8	1.29119826192722331E1
5.20999999999999996E8	1.28979128941252319E1
5.22000000000000064E8	1.28838727978882672E1
5.22999999999999954E8	1.28698622782442218E1
5.24000000000000021E8	1.28558812829025348E1
5.25000000000000000E8	1.28419297595785764E1
5.25999999999999979E8	1.28280076560147149E1
5.27000000000000046E8	1.28141149199776194E1
5.27999999999999936E8	1.28002514992848626E1
5.29000000000000004E8	1.27864173417543103E1
5.29999999999999982E8	1.27726123952570636E1
5.31000000000000050E8	1.27588366077189264E1
5.32000000000000028E8	1.27450899270773554E1
5.33000000000000007E8	1.27313723013423385E1
5.33999999999999986E8	1.27176836785533975E1
5.34999999999999964E8	1.27040240068166588E1
5.36000000000000032E8	1.26903932342772996E1
5.37000000000000011E8	1.26767913091406892E1
5.37999999999999989E8	1.26632181796862708E1
5.38999999999999968E8	1.26496737942408721E1
5.40000000000000036E8	1.26361581011844870E1
5.41000000000000014E8	1.26226710489981153E1
5.41999999999999993E8	1.26092125861929683E1
5.42999999999999972E8	1.25957826613763491E1
5.43999999999999950E8	1.25823812232094867E1
5.45000000000000018E8	1.25690082204585907E1
5.45999999999999996E8	1.25556636019347811E1
5.47000000000000064E8	1.25423473165466870E1
5.47999999999999954E8	1.25290593132780081E1
5.49000000000000021E8	1.25157995412095024E1
5.50000000000000000E8	1.25025679494841846E1
5.50999999999999979E8	1.24893644873434106E1
