freq	dB(S(2,1))
5.00000000000000000E8	8.52279086526118768E0
5.00999999999999979E8	8.50460264302466307E0
5.02000000000000046E8	8.48649314003181132E0
5.02999999999999936E8	8.46846235265866909E0
5.04000000000000004E8	8.45051027815234512E0
5.04999999999999982E8	8.43263691464976439E0
5.06000000000000050E8	8.41484226116950573E0
5.07000000000000028E8	8.39712631763488027E0
5.08000000000000007E8	8.37948908485446253E0
5.08999999999999986E8	8.36193056453297423E0
5.09999999999999964E8	8.34445075928836744E0
5.11000000000000032E8	8.32704967263370222E0
5.12000000000000011E8	8.30972730899780032E0
5.12999999999999989E8	8.29248367372008488E0
5.13999999999999968E8	8.27531877305537655E0
5.15000000000000036E8	8.25823261417866306E0
5.16000000000000014E8	8.24122520519387791E0
5.16999999999999993E8	8.22429655512855362E0
5.17999999999999972E8	8.20744667393376304E0
5.18999999999999950E8	8.19067557251366019E0
5.20000000000000018E8	8.17398326269060682E0
5.20999999999999996E8	8.15736975724577462E0
5.22000000000000064E8	8.14083506989918426E0
5.22999999999999954E8	8.12437921531932439E0
5.24000000000000021E8	8.10800220913238157E0
5.25000000000000000E8	8.09170406792624775E0
5.25999999999999979E8	8.07548480923934875E0
5.27000000000000046E8	8.05934445158562873E0
5.27999999999999936E8	8.04328301444875748E0
5.29000000000000004E8	8.02730051828620361E0
5.29999999999999982E8	8.01139698452098159E0
5.31000000000000050E8	7.99557243558060105E0
5.32000000000000028E8	7.97982689485892127E0
5.33000000000000007E8	7.96416038675416083E0
5.33999999999999986E8	7.94857293665319098E0
5.34999999999999964E8	7.93306457094211304E0
5.36000000000000032E8	7.91763531700904633E0
5.37000000000000011E8	7.90228520325467088E0
5.37999999999999989E8	7.88701425908572773E0
5.38999999999999968E8	7.87182251493375951E0
5.40000000000000036E8	7.85671000223933103E0
5.41000000000000014E8	7.84167675348245652E0
5.41999999999999993E8	7.82672280216060834E0
5.42999999999999972E8	7.81184818281812632E0
5.43999999999999950E8	7.79705293102554009E0
5.45000000000000018E8	7.78233708340707864E0
5.45999999999999996E8	7.76770067762735117E0
5.47000000000000064E8	7.75314375241364928E0
5.47999999999999954E8	7.73866634754088256E0
5.49000000000000021E8	7.72426850385971608E0
5.50000000000000000E8	7.70995026327345023E0
5.50999999999999979E8	7.69571166877054935E0
5.52000000000000046E8	7.68155276441037227E0
5.52999999999999936E8	7.66747359533778905E0
5.54000000000000004E8	7.65347420777943555E0
5.54999999999999982E8	7.63955464906700410E0
5.56000000000000050E8	7.62571496761702861E0
5.57000000000000028E8	7.61195521295735844E0
5.58000000000000007E8	7.59827543571295116E0
5.58999999999999986E8	7.58467568764385458E0
5.59999999999999964E8	7.57115602160390555E0
5.61000000000000032E8	7.55771649158760539E0
5.62000000000000011E8	7.54435715271564078E0
