freq	dB(S(1,1))
5.00000000000000000E8	-1.06959436346617776E0
5.00999999999999979E8	-1.06827249495936005E0
5.02000000000000046E8	-1.06696473670078151E0
5.02999999999999936E8	-1.06567105710557275E0
5.04000000000000004E8	-1.06439142528245356E0
5.04999999999999982E8	-1.06312581102086878E0
5.06000000000000050E8	-1.06187418479854490E0
5.07000000000000028E8	-1.06063651776405110E0
5.08000000000000007E8	-1.05941278175604214E0
5.08999999999999986E8	-1.05820294929541014E0
5.09999999999999964E8	-1.05700699357277084E0
5.11000000000000032E8	-1.05582488846734379E0
5.12000000000000011E8	-1.05465660853055909E0
5.12999999999999989E8	-1.05350212899357554E0
5.13999999999999968E8	-1.05236142576594949E0
5.15000000000000036E8	-1.05123447543381965E0
5.16000000000000014E8	-1.05012125525537869E0
5.16999999999999993E8	-1.04902174316873431E0
5.17999999999999972E8	-1.04793591779464035E0
5.18999999999999950E8	-1.04686375841436696E0
5.20000000000000018E8	-1.04580524500303129E0
5.20999999999999996E8	-1.04476035819780844E0
5.22000000000000064E8	-1.04372907931891667E0
5.22999999999999954E8	-1.04271139036449689E0
5.24000000000000021E8	-1.04170727400697571E0
5.25000000000000000E8	-1.04071671359226325E0
5.25999999999999979E8	-1.03973969315496118E0
5.27000000000000046E8	-1.03877619739929861E0
5.27999999999999936E8	-1.03782621170883282E0
5.29000000000000004E8	-1.03688972214713071E0
5.29999999999999982E8	-1.03596671546985064E0
5.31000000000000050E8	-1.03505717909417960E0
5.32000000000000028E8	-1.03416110113760751E0
5.33000000000000007E8	-1.03327847038903053E0
5.33999999999999986E8	-1.03240927632741042E0
5.34999999999999964E8	-1.03155350911790089E0
5.36000000000000032E8	-1.03071115961354121E0
5.37000000000000011E8	-1.02988221935188884E0
5.37999999999999989E8	-1.02906668056624095E0
5.38999999999999968E8	-1.02826453617366287E0
5.40000000000000036E8	-1.02747577979545013E0
5.41000000000000014E8	-1.02670040573540278E0
5.41999999999999993E8	-1.02593840900514399E0
5.42999999999999972E8	-1.02518978530411875E0
5.43999999999999950E8	-1.02445453104420858E0
5.45000000000000018E8	-1.02373264333096148E0
5.45999999999999996E8	-1.02302411998235998E0
5.47000000000000064E8	-1.02232895951515079E0
5.47999999999999954E8	-1.02164716116486498E0
5.49000000000000021E8	-1.02097872486752372E0
5.50000000000000000E8	-1.02032365128708147E0
5.50999999999999979E8	-1.01968194179355587E0
5.52000000000000046E8	-1.01905359848270383E0
5.52999999999999936E8	-1.01843862417025499E0
5.54000000000000004E8	-1.01783702240305440E0
5.54999999999999982E8	-1.01724879744510477E0
5.56000000000000050E8	-1.01667395430394691E0
5.57000000000000028E8	-1.01611249871475540E0
5.58000000000000007E8	-1.01556443716050504E0
5.58999999999999986E8	-1.01502977684677331E0
5.59999999999999964E8	-1.01450852574640504E0
5.61000000000000032E8	-1.01400069256650038E0
5.62000000000000011E8	-1.01350628676963961E0
5.62999999999999989E8	-1.01302531857989320E0
5.63999999999999968E8	-1.01255779897254627E0
5.65000000000000036E8	-1.01210373969984002E0
5.66000000000000014E8	-1.01166315326336798E0
5.66999999999999993E8	-1.01123605295922703E0
5.67999999999999972E8	-1.01082245284606786E0
5.68999999999999950E8	-1.01042236776388905E0
5.70000000000000018E8	-1.01003581334286308E0
5.70999999999999996E8	-1.00966280600843628E0
5.72000000000000064E8	-1.00930336297191703E0
5.72999999999999954E8	-1.00895750225412462E0
5.74000000000000021E8	-1.00862524267472597E0
5.75000000000000000E8	-1.00830660386140303E0
5.75999999999999979E8	-1.00800160627064073E0
5.77000000000000046E8	-1.00771027116460821E0
5.77999999999999936E8	-1.00743262064379868E0
5.79000000000000004E8	-1.00716867763793982E0
5.79999999999999982E8	-1.00691846591408285E0
5.81000000000000050E8	-1.00668201008176683E0
5.82000000000000028E8	-1.00645933560771139E0
5.83000000000000007E8	-1.00625046880715230E0
5.83999999999999986E8	-1.00605543686413923E0
5.84999999999999964E8	-1.00587426782355083E0
5.86000000000000032E8	-1.00570699062158941E0
5.87000000000000011E8	-1.00555363506085138E0
5.87999999999999989E8	-1.00541423184439882E0
5.88999999999999968E8	-1.00528881256625668E0
5.90000000000000036E8	-1.00517740972786740E0
5.91000000000000014E8	-1.00508005673452727E0
5.91999999999999993E8	-1.00499678792549529E0
5.92999999999999972E8	-1.00492763854600331E0
