time	Tran2.TRAN.Vout
9.50000000000000178E-7	-7.20925477184880670E-2
9.50004328974605450E-7	-7.53647580269620843E-2
9.50011337436339254E-7	-7.98336635240847414E-2
9.50018851100138484E-7	-8.39254483205400703E-2
9.50027438854090356E-7	-8.84092407488704701E-2
9.50036887142635678E-7	-9.38024830390865461E-2
9.50044291214872594E-7	-1.00804208284498587E-1
9.50048592712805551E-7	-1.06975952259054385E-1
9.50052341612689233E-7	-1.12973731104224306E-1
9.50056655842207221E-7	-1.20172330462993604E-1
9.50060570524813208E-7	-1.28199002476391799E-1
9.50065221686786820E-7	-1.41373219693886365E-1
9.50071082189635341E-7	-1.62243886489475786E-1
9.50076345670740707E-7	-1.82712998515411140E-1
9.50083831458666950E-7	-2.15531262769720611E-1
9.50089767456665335E-7	-2.45471313560052096E-1
9.50097280385454113E-7	-2.83102606316833239E-1
9.50105048442087252E-7	-3.18027716525763537E-1
9.50111371237818148E-7	-3.44495587918368029E-1
9.50119549433180843E-7	-3.73699937347528088E-1
9.50124732913289094E-7	-3.86774875312349931E-1
9.50131985155146985E-7	-3.98816543042846083E-1
9.50137687014375665E-7	-4.05312669546408078E-1
9.50145576007385628E-7	-4.08959802515925031E-1
9.50151358219389941E-7	-4.06247571250711115E-1
9.50160492840843673E-7	-3.96887981381188037E-1
9.50168449783707558E-7	-3.87373787126982005E-1
9.50176558196166710E-7	-3.75391525442219720E-1
9.50184689833337970E-7	-3.61717864569455427E-1
9.50191264077641939E-7	-3.52682907253943467E-1
9.50201264077642271E-7	-3.41585093813335217E-1
9.50207305670775426E-7	-3.34724335079100133E-1
9.50216354298859045E-7	-3.26552735192041643E-1
9.50223156503914268E-7	-3.22359067361308416E-1
9.50228278134509807E-7	-3.18423029248199896E-1
9.50234382275967526E-7	-3.12294107859731351E-1
9.50239808850338008E-7	-3.06945176645245610E-1
9.50245239759534854E-7	-3.01655894042359396E-1
9.50250219568554755E-7	-2.95384410442077261E-1
9.50255398447531974E-7	-2.86998583485227110E-1
9.50259545188967003E-7	-2.79785028733037588E-1
9.50263811146219695E-7	-2.72568361931357384E-1
9.50267690495291006E-7	-2.65797401229598851E-1
9.50271183168236000E-7	-2.58952766646328003E-1
9.50276350677533088E-7	-2.47577267161166814E-1
9.50281237877149110E-7	-2.36590061499566628E-1
9.50287455034336581E-7	-2.23413815808725857E-1
9.50293945867652212E-7	-2.09513633050187265E-1
9.50301050932962532E-7	-1.93509161484242553E-1
9.50307729600303830E-7	-1.79392328551810554E-1
9.50313373126008898E-7	-1.68669469433778474E-1
9.50319775555670176E-7	-1.56384512957551824E-1
9.50325875317672875E-7	-1.44377489841476137E-1
9.50332195977676086E-7	-1.32758360024662925E-1
9.50335572551789909E-7	-1.26901821808834359E-1
9.50338671097355991E-7	-1.21319253931638449E-1
9.50342400880137284E-7	-1.14044607713711033E-1
9.50345460078944093E-7	-1.07748801353138890E-1
9.50349392018759076E-7	-9.96702446169621581E-2
9.50353936746148698E-7	-9.04873534012051906E-2
9.50358883446271996E-7	-8.00333814630135265E-2
9.50364678114453909E-7	-6.63547772617016474E-2
9.50370805944856833E-7	-5.07719564492171838E-2
9.50377569991507443E-7	-3.33417944736277772E-2
9.50382795376109080E-7	-1.94311018444738970E-2
9.50388708594234544E-7	-2.55961707683322093E-3
9.50395029031647454E-7	1.59462812267112786E-2
9.50400547662396633E-7	3.15266672592167918E-2
9.50405954678763720E-7	4.64133060594859792E-2
9.50410288301737438E-7	5.84703151231422780E-2
9.50414781397320496E-7	7.08403023105134189E-2
9.50418910031164366E-7	8.15110748673190244E-2
9.50424160493206571E-7	9.38792119244842560E-2
9.50428560800896705E-7	1.03627930677064128E-1
9.50433830014939574E-7	1.14917558648332685E-1
9.50439068881264859E-7	1.25192788931729160E-1
9.50444311231479588E-7	1.34018799972219416E-1
9.50450278741103816E-7	1.42866068657685807E-1
9.50456525681930131E-7	1.51575025443699607E-1
9.50463241009866877E-7	1.59993963674175443E-1
9.50470553174722355E-7	1.67769556523277341E-1
9.50477036096866890E-7	1.74394907290010726E-1
9.50484752837834534E-7	1.82745047298780050E-1
9.50491149267839575E-7	1.89586264755814460E-1
9.50500593736024513E-7	1.99894076079700644E-1
9.50506682067970310E-7	2.07325625142397429E-1
9.50514958633776352E-7	2.17991987342149818E-1
9.50521634768936075E-7	2.26407820741961929E-1
