time	Tran1.TRAN.Vout
3.22000000000000020E-11	7.08122341943915323E-17
1.32200000000000051E-10	5.90612073044704999E-16
2.32199999999999918E-10	1.07191711573822990E-15
3.32200000000000006E-10	-9.68257497545404533E-17
4.32200000000000273E-10	4.78661361563943721E-16
5.32200000000000006E-10	1.60527108825589981E-15
6.32199999999999562E-10	1.73757056856230285E-15
7.32199999999999385E-10	1.37685436799058736E-15
8.32199999999998852E-10	8.79273272455173327E-16
9.32199999999998852E-10	2.90508759590102983E-16
1.03219999999999845E-9	-2.79350524912507003E-15
1.13219999999999832E-9	-1.01196528208591463E-14
1.23219999999999730E-9	-1.23925615508276321E-14
1.33219999999999716E-9	-1.24075023088088465E-14
1.43219999999999681E-9	-5.12998888763920569E-15
1.53219999999999668E-9	7.90312549479432835E-15
1.63219999999999610E-9	2.26793580285553054E-14
1.73219999999999597E-9	3.34239922001360235E-14
1.83219999999999539E-9	3.31988010339697492E-14
1.93219999999999636E-9	2.22323209012398815E-14
2.03219999999999867E-9	-3.92364638184603987E-15
2.13220000000000010E-9	-3.48886636249424953E-14
2.23220000000000196E-9	-6.21314798492876630E-14
2.33220000000000294E-9	-6.80091568299258320E-14
2.43220000000000525E-9	-4.77118310673697277E-14
2.53220000000000667E-9	2.06623097779536380E-15
2.63220000000000853E-9	6.26873856490908654E-14
2.73220000000001129E-9	1.09031069639603673E-13
2.83220000000001182E-9	1.07226142062645691E-13
2.93220000000001368E-9	4.69803573643579409E-14
3.03220000000001599E-9	-6.03535382733307380E-14
3.13220000000001697E-9	-1.75202206159578555E-13
3.23220000000001884E-9	-2.39655230587411916E-13
3.33220000000002070E-9	-2.05032377206559824E-13
3.43220000000002301E-9	-5.76142209258423765E-14
3.53220000000002443E-9	1.64188726999685564E-13
3.63220000000002541E-9	3.70304033309343028E-13
3.73220000000002727E-9	4.57805195841563517E-13
3.83220000000002425E-9	3.43856052996388417E-13
3.93220000000002168E-9	1.95537282679434110E-14
4.03220000000001999E-9	-4.13982816458719327E-13
4.13220000000001786E-9	-7.76810502669362535E-13
4.23220000000001573E-9	-8.61622012793823622E-13
4.33220000000001271E-9	-5.32647347735315879E-13
4.43220000000000969E-9	1.72670935049424767E-13
4.53220000000000756E-9	1.01579070833490448E-12
4.63220000000000542E-9	1.61734811002526424E-12
4.73220000000000329E-9	1.58702675974223939E-12
4.83220000000000116E-9	7.40387827159970158E-13
4.93219999999999814E-9	-7.53619644113628340E-13
5.03219999999999601E-9	-2.34727366025826045E-12
5.13219999999999210E-9	-3.26480434729319668E-12
5.23219999999999175E-9	-2.82206127730617506E-12
5.33219999999998961E-9	-8.07071829815496677E-13
5.43219999999998571E-9	2.26183469743146448E-12
5.53219999999998358E-9	5.16363203342726074E-12
5.63219999999998144E-9	6.37341451212167787E-12
5.73219999999997842E-9	4.74010750735924180E-12
5.83219999999997629E-9	1.81243893755205621E-13
5.93219999999997682E-9	-5.92984978248469741E-12
6.03219999999997203E-9	-1.09851613271258164E-11
6.13219999999996990E-9	-1.20840460755774837E-11
6.23219999999996510E-9	-7.40212993722286328E-12
6.33219999999996563E-9	2.54314814304064063E-12
6.43219999999996350E-9	1.43891746240074636E-11
6.53219999999995871E-9	2.27425151909852463E-11
6.63219999999995657E-9	2.22373121871645818E-11
6.73219999999995355E-9	1.02872054014487513E-11
6.83219999999995231E-9	-1.07220927540007027E-11
6.93219999999995018E-9	-3.30378042381393788E-11
7.03219999999994805E-9	-4.57550165712979506E-11
7.13219999999994414E-9	-3.93410669441334448E-11
7.23219999999994201E-9	-1.09111792331867252E-11
7.33219999999993899E-9	3.21787231093250892E-11
7.43219999999993863E-9	7.27743483813208591E-11
7.53219999999993561E-9	8.94728539247329202E-11
7.63219999999993348E-9	6.61269940643439291E-11
7.73219999999993135E-9	1.72094178109479357E-12
7.83219999999992833E-9	-8.42487221929591357E-11
7.93219999999992353E-9	-1.55068498948909061E-10
8.03219999999992318E-9	-1.69944914414449344E-10
8.13219999999992105E-9	-1.03353818920496354E-10
