time	Tran2.TRAN.I_RL.i
1.00000000000000000E-6	1.24459831215828975E-2
1.00000999999999984E-6	1.35937215321717053E-2
1.00002000000000013E-6	1.46874162225468030E-2
1.00003000000000020E-6	1.57227053709110987E-2
1.00004000000000026E-6	1.66954627972059999E-2
1.00005000000000033E-6	1.76018146608213111E-2
1.00006000000000039E-6	1.84381551214646011E-2
1.00007000000000046E-6	1.92011609055547505E-2
1.00008000000000052E-6	1.98878047253443002E-2
1.00009000000000059E-6	2.04953675006855507E-2
1.00010000000000066E-6	2.10214493347039877E-2
1.00011000000000050E-6	2.14639791953355452E-2
1.00012000000000034E-6	2.18212232556383556E-2
1.00013000000000107E-6	2.20917918478784703E-2
1.00014000000000092E-6	2.22746449902334875E-2
1.00015000000000098E-6	2.23690964507866852E-2
1.00016000000000105E-6	2.23748163210943041E-2
1.00017000000000089E-6	2.22918320804374570E-2
1.00018000000000118E-6	2.21205281411525512E-2
1.00019000000000102E-6	2.18616438744002917E-2
1.00020000000000131E-6	2.15162701238060450E-2
1.00021000000000138E-6	2.10858442213320707E-2
1.00022000000000144E-6	2.05721435256491558E-2
1.00023000000000128E-6	1.99772775086058174E-2
1.00024000000000157E-6	1.93036784207765177E-2
1.00025000000000119E-6	1.85540905731375716E-2
1.00026000000000170E-6	1.77315582791293824E-2
1.00027000000000177E-6	1.68394125098808090E-2
1.00028000000000183E-6	1.58812563250300620E-2
1.00029000000000190E-6	1.48609491519369419E-2
1.00030000000000197E-6	1.37825899965544307E-2
1.00031000000000181E-6	1.26504996792349678E-2
1.00032000000000210E-6	1.14692021978533409E-2
1.00033000000000216E-6	1.02434053286239091E-2
1.00034000000000223E-6	8.97798058188218917E-3
1.00035000000000229E-6	7.67794263603090954E-3
1.00036000000000214E-6	6.34842837795594761E-3
1.00037000000000242E-6	4.99467568248100058E-3
1.00038000000000227E-6	3.62200206656243529E-3
1.00039000000000233E-6	2.23578335531182670E-3
1.00040000000000240E-6	8.41432495666528091E-4
1.00041000000000269E-6	-5.55621351472525671E-4
1.00042000000000275E-6	-1.94995331961443252E-3
1.00043000000000282E-6	-3.33616283994645801E-3
1.00044000000000266E-6	-4.70889305520079127E-3
1.00045000000000295E-6	-6.06284958665156637E-3
1.00046000000000301E-6	-7.39281862782575239E-3
1.00047000000000308E-6	-8.69368437159236862E-3
1.00048000000000314E-6	-9.96044580940342072E-3
1.00049000000000299E-6	-1.11882329690707549E-2
1.00050000000000305E-6	-1.23723226769738481E-2
1.00051000000000312E-6	-1.35081539388968652E-2
1.00052000000000318E-6	-1.45913430287826196E-2
1.00053000000000347E-6	-1.56176983561728244E-2
1.00054000000000354E-6	-1.65832351524888555E-2
1.00055000000000360E-6	-1.74841899769676012E-2
1.00056000000000367E-6	-1.83170349998214155E-2
1.00057000000000351E-6	-1.90784919785601748E-2
1.00058000000000380E-6	-1.97655458086773561E-2
1.00059000000000387E-6	-2.03754575061604459E-2
1.00060000000000393E-6	-2.09057764687285852E-2
1.00061000000000400E-6	-2.13543518652626751E-2
1.00062000000000406E-6	-2.17193430163804857E-2
1.00063000000000413E-6	-2.19992286497634915E-2
1.00064000000000397E-6	-2.21928149372149441E-2
1.00065000000000404E-6	-2.22992422423526637E-2
1.00066000000000410E-6	-2.23179905252790611E-2
1.00067000000000417E-6	-2.22488833621448601E-2
1.00068000000000401E-6	-2.20920905436213388E-2
1.00069000000000452E-6	-2.18481292187592446E-2
1.00070000000000459E-6	-2.15178635522026029E-2
1.00071000000000443E-6	-2.11025028659414371E-2
1.00072000000000427E-6	-2.06035982437375020E-2
1.00073000000000456E-6	-2.00230375878585409E-2
1.00074000000000485E-6	-1.93630391332692442E-2
1.00075000000000491E-6	-1.86261434422521255E-2
1.00076000000000476E-6	-1.78152039201947954E-2
1.00077000000000504E-6	-1.69333759085763269E-2
1.00078000000000511E-6	-1.59841044221996009E-2
1.00079000000000495E-6	-1.49711106036766073E-2
1.00080000000000502E-6	-1.38983769695124115E-2
1.00081000000000508E-6	-1.27701315203379551E-2
1.00082000000000493E-6	-1.15908307850292669E-2
1.00083000000000544E-6	-1.03651418667955308E-2
1.00084000000000528E-6	-9.09792356048190420E-3
1.00085000000000535E-6	-7.79420661504164158E-3
1.00086000000000541E-6	-6.45917322301887697E-3
1.00087000000000526E-6	-5.09813582861956682E-3
1.00088000000000577E-6	-3.71651535562510027E-3
1.00089000000000561E-6	-2.31981896405891908E-3
1.00090000000000590E-6	-9.13617448653413078E-4
1.00091000000000596E-6	4.96477607871070870E-4
1.00092000000000581E-6	1.90483681758185330E-3
1.00093000000000609E-6	3.30583600356736707E-3
1.00094000000000594E-6	4.69387915453297744E-3
1.00095000000000600E-6	6.06342122939462946E-3
1.00096000000000607E-6	7.40899072813999826E-3
1.00097000000000635E-6	8.72521194716347814E-3
1.00098000000000642E-6	1.00068268367489877E-2
1.00099000000000626E-6	1.12487163763058406E-2
1.00100000000000611E-6	1.24459213806897862E-2
1.00101000000000662E-6	1.35936626498030977E-2
1.00102000000000668E-6	1.46873603746436676E-2
1.00103000000000675E-6	1.57226527164399132E-2
1.00104000000000659E-6	1.66954134811732580E-2
1.00105000000000688E-6	1.76017688188134613E-2
1.00106000000000672E-6	1.84381128838466357E-2
1.00107000000000679E-6	1.92011224000674785E-2
1.00108000000000685E-6	1.98877700773683941E-2
1.00109000000000692E-6	2.04953368311348605E-2
1.00110000000000721E-6	2.10214227561530542E-2
1.00111000000000705E-6	2.14639568074087972E-2
1.00112000000000689E-6	2.18212051408009433E-2
1.00113000000000718E-6	2.20917780685757448E-2
1.00114000000000725E-6	2.22746355879137692E-2
1.00115000000000731E-6	2.23690914468393665E-2
1.00116000000000760E-6	2.23748157192780450E-2
1.00117000000000744E-6	2.22918358700653219E-2
1.00118000000000773E-6	2.21205363001961208E-2
1.00119000000000757E-6	2.18616563717736900E-2
1.00120000000000764E-6	2.15162869203499607E-2
1.00121000000000770E-6	2.10858652693663373E-2
1.00122000000000799E-6	2.05721687673191145E-2
1.00123000000000784E-6	1.99773068735363335E-2
1.00124000000000768E-6	1.93037118237089667E-2
1.00125000000000797E-6	1.85541279122259617E-2
1.00126000000000803E-6	1.77315994354118445E-2
1.00127000000000810E-6	1.68394573481569743E-2
1.00128000000000794E-6	1.58813046960297699E-2
1.00129000000000823E-6	1.48610008953457795E-2
1.00130000000000852E-6	1.37826449442516008E-2
1.00131000000000836E-6	1.26505576580574597E-2
1.00132000000000843E-6	1.14692630313442834E-2
1.00133000000000871E-6	1.02434688375150484E-2
1.00134000000000856E-6	8.97804658342038664E-3
1.00135000000000862E-6	7.67801094258274563E-3
1.00136000000000869E-6	6.34849879551842200E-3
1.00137000000000853E-6	4.99474800973471922E-3
1.00138000000000904E-6	3.62207609492706739E-3
1.00139000000000888E-6	2.23585887016023266E-3
1.00140000000000917E-6	8.41509278518277171E-4
1.00141000000000902E-6	-5.55543520224005416E-4
1.00142000000000908E-6	-1.94987465800929161E-3
1.00143000000000892E-6	-3.33608356232069303E-3
1.00144000000000921E-6	-4.70881337093281882E-3
1.00145000000000928E-6	-6.06276969985757397E-3
1.00146000000000934E-6	-7.39273873781319857E-3
1.00147000000000919E-6	-8.69360467370777279E-3
1.00148000000000947E-6	-9.96036649585745160E-3
1.00149000000000954E-6	-1.11881542293885716E-2
1.00150000000000960E-6	-1.23722446978653799E-2
1.00151000000000967E-6	-1.35080769035174120E-2
1.00152000000000951E-6	-1.45912671155082041E-2
1.00153000000000958E-6	-1.56176237371132132E-2
1.00154000000000987E-6	-1.65831619919932538E-2
1.00155000000000993E-6	-1.74841184303513986E-2
1.00156000000001000E-6	-1.83169652124757265E-2
1.00157000000001029E-6	-1.90784240855198339E-2
1.00158000000001035E-6	-1.97654799346329790E-2
1.00159000000001019E-6	-2.03753937658186413E-2
1.00160000000001026E-6	-2.09057149673601161E-2
1.00161000000001033E-6	-2.13542926992416859E-2
1.00162000000001017E-6	-2.17192862735187298E-2
1.00163000000001023E-6	-2.19991744092889352E-2
1.00164000000001052E-6	-2.21927632693310573E-2
1.00165000000001059E-6	-2.22991932074282495E-2
1.00166000000001043E-6	-2.23179441728301997E-2
1.00167000000001072E-6	-2.22488397298471208E-2
1.00168000000001056E-6	-2.20920496566037716E-2
1.00169000000001085E-6	-2.18480910893715752E-2
1.00170000000001092E-6	-2.15178281803261440E-2
1.00171000000001098E-6	-2.11024702397669239E-2
1.00172000000001127E-6	-2.06035683408063086E-2
1.00173000000001133E-6	-2.00230103760980072E-2
1.00174000000001118E-6	-1.93630145717714353E-2
1.00175000000001124E-6	-1.86261214816419596E-2
1.00176000000001131E-6	-1.78151845025757960E-2
1.00177000000001115E-6	-1.69333589671832097E-2
1.00178000000001122E-6	-1.59840898809804033E-2
1.00179000000001150E-6	-1.49710983770446870E-2
1.00180000000001135E-6	-1.38983669624497685E-2
1.00181000000001164E-6	-1.27701236289196385E-2
1.00182000000001170E-6	-1.15908248973150130E-2
1.00183000000001177E-6	-1.03651378639399216E-2
1.00184000000001183E-6	-9.09792131787525626E-3
1.00185000000001168E-6	-7.79420600331581781E-3
1.00186000000001196E-6	-6.45917410882008181E-3
1.00187000000001181E-6	-5.09813807513481798E-3
1.00188000000001209E-6	-3.71651882292184377E-3
1.00189000000001216E-6	-2.31982350933785231E-3
1.00190000000001223E-6	-9.13622926518305079E-4
1.00191000000001229E-6	4.96471345047792845E-4
1.00192000000001213E-6	1.90482991915701616E-3
1.00193000000001220E-6	3.30582861998396416E-3
1.00194000000001227E-6	4.69387143655737304E-3
1.00195000000001255E-6	6.06341332726987847E-3
1.00196000000001262E-6	7.40898279069865939E-3
1.00197000000001291E-6	8.72520412094841902E-3
1.00198000000001253E-6	1.00068192651944354E-2
1.00199000000001304E-6	1.12487091990295363E-2
1.00200000000001266E-6	1.24459147329351882E-2
1.00201000000001295E-6	1.35936566620444710E-2
1.00202000000001301E-6	1.46873551723298545E-2
1.00203000000001330E-6	1.57226484198146221E-2
1.00204000000001314E-6	1.66954102050848885E-2
1.00205000000001321E-6	1.76017666724283850E-2
1.00206000000001305E-6	1.84381119702108331E-2
1.00207000000001312E-6	1.92011228155155567E-2
1.00208000000001318E-6	1.98877719108392337E-2
1.00209000000001303E-6	2.04953401634980326E-2
1.00210000000001354E-6	2.10214276596622662E-2
1.00211000000001360E-6	2.14639633453716083E-2
1.00212000000001344E-6	2.18212133674959663E-2
1.00213000000001351E-6	2.20917880293798197E-2
1.00214000000001380E-6	2.22746473195456085E-2
1.00215000000001386E-6	2.23691049776040796E-2
1.00216000000001393E-6	2.23748310692146202E-2
1.00217000000001377E-6	2.22918530509500012E-2
1.00218000000001384E-6	2.21205553154184598E-2
1.00219000000001413E-6	2.18616772161559370E-2
1.00220000000001397E-6	2.15163095800053883E-2
1.00221000000001426E-6	2.10858897216817542E-2
1.00222000000001410E-6	2.05721949811079652E-2
1.00223000000001439E-6	1.99773348093583025E-2
1.00224000000001423E-6	1.93037414343092273E-2
1.00225000000001430E-6	1.85541591430268937E-2
1.00226000000001458E-6	1.77316322249957747E-2
1.00227000000001443E-6	1.68394916287041041E-2
1.00228000000001449E-6	1.58813403937071973E-2
1.00229000000001478E-6	1.48610379306681928E-2
1.00230000000001485E-6	1.37826832324430026E-2
1.00231000000001491E-6	1.26505971094367364E-2
1.00232000000001475E-6	1.14693035517420827E-2
1.00233000000001482E-6	1.02435103287156792E-2
1.00234000000001511E-6	8.97808894361741139E-3
1.00235000000001495E-6	7.67805406684215086E-3
1.00236000000001502E-6	6.34854257625430307E-3
1.00237000000001508E-6	4.99479233721062865E-3
1.00238000000001537E-6	3.62212085779522353E-3
1.00239000000001544E-6	2.23590395603822412E-3
1.00240000000001528E-6	8.41554574583712522E-4
1.00241000000001534E-6	-5.55498126657450353E-4
1.00242000000001563E-6	-1.94982927897638492E-3
1.00243000000001548E-6	-3.33603830878072616E-3
1.00244000000001554E-6	-4.70876835244328884E-3
1.00245000000001583E-6	-6.06272502432154337E-3
1.00246000000001589E-6	-7.39269451125358490E-3
1.00247000000001574E-6	-8.69356100001597909E-3
1.00248000000001580E-6	-9.96032347647820870E-3
1.00249000000001565E-6	-1.11881119629325276E-2
1.00250000000001616E-6	-1.23722032796744452E-2
1.00251000000001622E-6	-1.35080364252317331E-2
1.00252000000001606E-6	-1.45912276646885775E-2
1.00253000000001613E-6	-1.56175853969567879E-2
1.00254000000001642E-6	-1.65831248411501964E-2
1.00255000000001626E-6	-1.74840825428177871E-2
1.00256000000001655E-6	-1.83169306575164637E-2
1.00257000000001639E-6	-1.90783909275720887E-2
1.00258000000001668E-6	-1.97654482331567460E-2
1.00259000000001652E-6	-2.03753635750882856E-2
1.00260000000001659E-6	-2.09056863362185030E-2
1.00261000000001688E-6	-2.13542656708551792E-2
1.00262000000001672E-6	-2.17192608851721669E-2
1.00263000000001679E-6	-2.19991506922453439E-2
1.00264000000001685E-6	-2.21927412487593312E-2
1.00265000000001714E-6	-2.22991729023829199E-2
1.00266000000001720E-6	-2.23179255962585898E-2
1.00267000000001705E-6	-2.22488228886026995E-2
1.00268000000001711E-6	-2.20920345514578731E-2
1.00269000000001740E-6	-2.18480777150304961E-2
1.00270000000001747E-6	-2.15178165254698861E-2
1.00271000000001753E-6	-2.11024602871255951E-2
1.00272000000001738E-6	-2.06035600672801200E-2
1.00273000000001744E-6	-2.00230037529140459E-2
1.00274000000001751E-6	-1.93630095646601541E-2
1.00275000000001757E-6	-1.86261180510153035E-2
1.00276000000001764E-6	-1.78151826036974104E-2
1.00277000000001770E-6	-1.69333585503353401E-2
1.00278000000001821E-6	-1.59840908916450442E-2
1.00279000000001761E-6	-1.49711007561219489E-2
1.00280000000001812E-6	-1.38983706465304024E-2
1.00281000000001796E-6	-1.27701285506140350E-2
1.00282000000001803E-6	-1.15908309856231329E-2
1.00283000000001810E-6	-1.03651450446339699E-2
1.00284000000001838E-6	-9.09792951386488902E-3
1.00285000000001845E-6	-7.79421513497602092E-3
1.00286000000001851E-6	-6.45918409428014151E-3
1.00287000000001836E-6	-5.09814883054571943E-3
1.00288000000001842E-6	-3.71653026273090825E-3
1.00289000000001849E-6	-2.31983554659879676E-3
1.00290000000001855E-6	-9.13635473252185548E-4
1.00291000000001862E-6	4.96458377444361254E-4
1.00292000000001846E-6	1.90481661947779934E-3
1.00293000000001920E-6	3.30581507678373843E-3
1.00294000000001882E-6	4.69385773775482651E-3
1.00295000000001888E-6	6.06339955979702872E-3
1.00296000000001895E-6	7.40896904019322733E-3
1.00297000000001901E-6	8.72519047147100046E-3
1.00298000000001930E-6	1.00068057989464920E-2
1.00299000000001914E-6	1.12486959960534993E-2
1.00300000000001921E-6	1.24459018707908253E-2
1.00301000000001950E-6	1.35936442154706327E-2
1.00302000000001934E-6	1.46873432129110260E-2
1.00303000000001941E-6	1.57226370156732864E-2
1.00304000000001947E-6	1.66953994206136103E-2
1.00305000000001932E-6	1.76017565680634958E-2
1.00306000000001960E-6	1.84381026022383709E-2
1.00307000000001967E-6	1.92011142358948361E-2
1.00308000000001973E-6	1.98877641670318517E-2
1.00309000000001980E-6	2.04953332982990499E-2
1.00310000000001986E-6	2.10214217110406754E-2
1.00311000000001993E-6	2.14639583463343531E-2
1.00312000000002000E-6	2.18212093459898249E-2
1.00313000000002006E-6	2.20917850082385936E-2
1.00314000000002035E-6	2.22746453164797442E-2
1.00315000000002041E-6	2.23691040052201195E-2
1.00316000000002026E-6	2.23748311350488116E-2
1.00317000000002032E-6	2.22918541575037032E-2
1.00318000000002039E-6	2.21205574601928534E-2
1.00319000000002045E-6	2.18616803916945557E-2
1.00320000000002052E-6	2.15163137739601851E-2
1.00321000000002036E-6	2.10858949169185772E-2
1.00322000000002065E-6	2.05722011558599105E-2
1.00323000000002072E-6	1.99773419374236760E-2
1.00324000000002056E-6	1.93037494852799085E-2
1.00325000000002107E-6	1.85541680825272293E-2
1.00326000000002113E-6	1.77316420149146725E-2
1.00327000000002098E-6	1.68395022274123329E-2
1.00328000000002104E-6	1.58813517562639772E-2
1.00329000000002111E-6	1.48610500090309072E-2
1.00330000000002117E-6	1.37826959756970435E-2
1.00331000000002124E-6	1.26506104640577210E-2
1.00332000000002131E-6	1.14693174618923854E-2
1.00333000000002137E-6	1.02435247365657633E-2
1.00334000000002121E-6	8.97810378967469624E-3
1.00335000000002150E-6	7.67806929026941809E-3
1.00336000000002157E-6	6.34855811516578683E-3
1.00337000000002163E-6	4.99480812894417170E-3
1.00338000000002170E-6	3.62213683916837592E-3
1.00339000000002176E-6	2.23592006360107964E-3
1.00340000000002161E-6	8.41570744879483712E-4
1.00341000000002190E-6	-5.55481956820316469E-4
1.00342000000002196E-6	-1.94981317224597372E-3
1.00343000000002203E-6	-3.33602232698963785E-3
1.00344000000002209E-6	-4.70875255635670431E-3
1.00345000000002216E-6	-6.06270947341487165E-3
1.00346000000002222E-6	-7.39267926352091997E-3
1.00347000000002229E-6	-8.69354611180232162E-3
1.00348000000002213E-6	-9.96030900232360850E-3
1.00349000000002242E-6	-1.11880979554171689E-2
1.00350000000002249E-6	-1.23721897892592603E-2
1.00351000000002255E-6	-1.35080235000969862E-2
1.00352000000002239E-6	-1.45912153505788433E-2
1.00353000000002268E-6	-1.56175737370425383E-2
1.00354000000002297E-6	-1.65831138759126251E-2
1.00355000000002281E-6	-1.74840723099565709E-2
1.00356000000002288E-6	-1.83169211918729635E-2
1.00357000000002294E-6	-1.90783822610565834E-2
1.00358000000002301E-6	-1.97654403946695112E-2
1.00359000000002307E-6	-2.03753565904303535E-2
1.00360000000002270E-6	-2.09056802279959708E-2
1.00361000000002321E-6	-2.13542604583878592E-2
1.00362000000002305E-6	-2.17192565844196395E-2
1.00363000000002334E-6	-2.19991473157606166E-2
1.00364000000002340E-6	-2.21927388056731534E-2
1.00365000000002347E-6	-2.22991713984138906E-2
1.00366000000002353E-6	-2.23179250337383062E-2
1.00367000000002338E-6	-2.22488232665047692E-2
1.00368000000002344E-6	-2.20920358654235427E-2
1.00369000000002373E-6	-2.18480799573909978E-2
1.00370000000002380E-6	-2.15178196852726034E-2
1.00371000000002386E-6	-2.11024643501747455E-2
1.00372000000002393E-6	-2.06035650162016992E-2
1.00373000000002377E-6	-2.00230095672490815E-2
1.00374000000002406E-6	-1.93630162209835177E-2
1.00375000000002390E-6	-1.86261255230712308E-2
1.00376000000002419E-6	-1.78151908625411348E-2
1.00377000000002403E-6	-1.69333675644726256E-2
1.00378000000002432E-6	-1.59841006271671526E-2
1.00379000000002438E-6	-1.49711111768398153E-2
1.00380000000002423E-6	-1.38983817141157084E-2
1.00381000000002452E-6	-1.27701402247547513E-2
1.00382000000002458E-6	-1.15908432241973935E-2
1.00383000000002465E-6	-1.03651578039004044E-2
1.00384000000002449E-6	-9.09794274866238517E-3
1.00385000000002478E-6	-7.79422879892408460E-3
1.00386000000002484E-6	-6.45919813997268388E-3
1.00387000000002469E-6	-5.09816320973593307E-3
1.00388000000002497E-6	-3.71654492651029900E-3
1.00389000000002504E-6	-2.31985044557703324E-3
1.00390000000002488E-6	-9.13650557744742642E-4
1.00391000000002517E-6	4.96443157217123954E-4
1.00392000000002501E-6	1.90480131318159196E-3
1.00393000000002530E-6	3.30579973375757241E-3
1.00394000000002537E-6	4.69384240680289899E-3
1.00395000000002543E-6	6.06338428899227821E-3
1.00396000000002572E-6	7.40895387669533356E-3
1.00397000000002556E-6	8.72517546135640565E-3
1.00398000000002563E-6	1.00067909870443250E-2
1.00399000000002547E-6	1.12486814257805023E-2
1.00400000000000000E-6	1.24458875809845249E-2


