time	Tran2.TRAN.VCC
1.00000000000000000E-6	8.00000000000000000E0
1.00000999999999984E-6	8.00000000000000000E0
1.00002000000000013E-6	8.00000000000000000E0
1.00003000000000020E-6	8.00000000000000000E0
1.00004000000000026E-6	8.00000000000000000E0
1.00005000000000033E-6	8.00000000000000000E0
1.00006000000000039E-6	8.00000000000000000E0
1.00007000000000046E-6	8.00000000000000000E0
1.00008000000000052E-6	8.00000000000000000E0
1.00009000000000059E-6	8.00000000000000000E0
1.00010000000000066E-6	8.00000000000000000E0
1.00011000000000050E-6	8.00000000000000000E0
1.00012000000000034E-6	8.00000000000000000E0
1.00013000000000107E-6	8.00000000000000000E0
1.00014000000000092E-6	8.00000000000000000E0
1.00015000000000098E-6	8.00000000000000000E0
1.00016000000000105E-6	8.00000000000000000E0
1.00017000000000089E-6	8.00000000000000000E0
1.00018000000000118E-6	8.00000000000000000E0
1.00019000000000102E-6	8.00000000000000000E0
1.00020000000000131E-6	8.00000000000000000E0
1.00021000000000138E-6	8.00000000000000000E0
1.00022000000000144E-6	8.00000000000000000E0
1.00023000000000128E-6	8.00000000000000000E0
1.00024000000000157E-6	8.00000000000000000E0
1.00025000000000119E-6	8.00000000000000000E0
1.00026000000000170E-6	8.00000000000000000E0
1.00027000000000177E-6	8.00000000000000000E0
1.00028000000000183E-6	8.00000000000000000E0
1.00029000000000190E-6	8.00000000000000000E0
1.00030000000000197E-6	8.00000000000000000E0
1.00031000000000181E-6	8.00000000000000000E0
1.00032000000000210E-6	8.00000000000000000E0
1.00033000000000216E-6	8.00000000000000000E0
1.00034000000000223E-6	8.00000000000000000E0
1.00035000000000229E-6	8.00000000000000000E0
1.00036000000000214E-6	8.00000000000000000E0
1.00037000000000242E-6	8.00000000000000000E0
1.00038000000000227E-6	8.00000000000000000E0
1.00039000000000233E-6	8.00000000000000000E0
1.00040000000000240E-6	8.00000000000000000E0
1.00041000000000269E-6	8.00000000000000000E0
1.00042000000000275E-6	8.00000000000000000E0
1.00043000000000282E-6	8.00000000000000000E0
1.00044000000000266E-6	8.00000000000000000E0
1.00045000000000295E-6	8.00000000000000000E0
1.00046000000000301E-6	8.00000000000000000E0
1.00047000000000308E-6	8.00000000000000000E0
1.00048000000000314E-6	8.00000000000000000E0
1.00049000000000299E-6	8.00000000000000000E0
1.00050000000000305E-6	8.00000000000000000E0
1.00051000000000312E-6	8.00000000000000000E0
1.00052000000000318E-6	8.00000000000000000E0
1.00053000000000347E-6	8.00000000000000000E0
1.00054000000000354E-6	8.00000000000000000E0
1.00055000000000360E-6	8.00000000000000000E0
1.00056000000000367E-6	8.00000000000000000E0
1.00057000000000351E-6	8.00000000000000000E0
1.00058000000000380E-6	8.00000000000000000E0
1.00059000000000387E-6	8.00000000000000000E0
1.00060000000000393E-6	8.00000000000000000E0
1.00061000000000400E-6	8.00000000000000000E0
1.00062000000000406E-6	8.00000000000000000E0
1.00063000000000413E-6	8.00000000000000000E0
1.00064000000000397E-6	8.00000000000000000E0
1.00065000000000404E-6	8.00000000000000000E0
1.00066000000000410E-6	8.00000000000000000E0
1.00067000000000417E-6	8.00000000000000000E0
1.00068000000000401E-6	8.00000000000000000E0
1.00069000000000452E-6	8.00000000000000000E0
1.00070000000000459E-6	8.00000000000000000E0
1.00071000000000443E-6	8.00000000000000000E0
1.00072000000000427E-6	8.00000000000000000E0
1.00073000000000456E-6	8.00000000000000000E0
1.00074000000000485E-6	8.00000000000000000E0
1.00075000000000491E-6	8.00000000000000000E0
1.00076000000000476E-6	8.00000000000000000E0
1.00077000000000504E-6	8.00000000000000000E0
1.00078000000000511E-6	8.00000000000000000E0
1.00079000000000495E-6	8.00000000000000000E0
1.00080000000000502E-6	8.00000000000000000E0
1.00081000000000508E-6	8.00000000000000000E0
1.00082000000000493E-6	8.00000000000000000E0
1.00083000000000544E-6	8.00000000000000000E0
1.00084000000000528E-6	8.00000000000000000E0
1.00085000000000535E-6	8.00000000000000000E0
1.00086000000000541E-6	8.00000000000000000E0
1.00087000000000526E-6	8.00000000000000000E0
1.00088000000000577E-6	8.00000000000000000E0
1.00089000000000561E-6	8.00000000000000000E0
1.00090000000000590E-6	8.00000000000000000E0
1.00091000000000596E-6	8.00000000000000000E0
1.00092000000000581E-6	8.00000000000000000E0
1.00093000000000609E-6	8.00000000000000000E0
1.00094000000000594E-6	8.00000000000000000E0
1.00095000000000600E-6	8.00000000000000000E0
1.00096000000000607E-6	8.00000000000000000E0
1.00097000000000635E-6	8.00000000000000000E0
1.00098000000000642E-6	8.00000000000000000E0
1.00099000000000626E-6	8.00000000000000000E0
1.00100000000000611E-6	8.00000000000000000E0
1.00101000000000662E-6	8.00000000000000000E0
1.00102000000000668E-6	8.00000000000000000E0
1.00103000000000675E-6	8.00000000000000000E0
1.00104000000000659E-6	8.00000000000000000E0
1.00105000000000688E-6	8.00000000000000000E0
1.00106000000000672E-6	8.00000000000000000E0
1.00107000000000679E-6	8.00000000000000000E0
1.00108000000000685E-6	8.00000000000000000E0
1.00109000000000692E-6	8.00000000000000000E0
1.00110000000000721E-6	8.00000000000000000E0
1.00111000000000705E-6	8.00000000000000000E0
1.00112000000000689E-6	8.00000000000000000E0
1.00113000000000718E-6	8.00000000000000000E0
1.00114000000000725E-6	8.00000000000000000E0
1.00115000000000731E-6	8.00000000000000000E0
1.00116000000000760E-6	8.00000000000000000E0
1.00117000000000744E-6	8.00000000000000000E0
1.00118000000000773E-6	8.00000000000000000E0
1.00119000000000757E-6	8.00000000000000000E0
1.00120000000000764E-6	8.00000000000000000E0
1.00121000000000770E-6	8.00000000000000000E0
1.00122000000000799E-6	8.00000000000000000E0
1.00123000000000784E-6	8.00000000000000000E0
1.00124000000000768E-6	8.00000000000000000E0
1.00125000000000797E-6	8.00000000000000000E0
1.00126000000000803E-6	8.00000000000000000E0
1.00127000000000810E-6	8.00000000000000000E0
1.00128000000000794E-6	8.00000000000000000E0
1.00129000000000823E-6	8.00000000000000000E0
1.00130000000000852E-6	8.00000000000000000E0
1.00131000000000836E-6	8.00000000000000000E0
1.00132000000000843E-6	8.00000000000000000E0
1.00133000000000871E-6	8.00000000000000000E0
1.00134000000000856E-6	8.00000000000000000E0
1.00135000000000862E-6	8.00000000000000000E0
1.00136000000000869E-6	8.00000000000000000E0
1.00137000000000853E-6	8.00000000000000000E0
1.00138000000000904E-6	8.00000000000000000E0
1.00139000000000888E-6	8.00000000000000000E0
1.00140000000000917E-6	8.00000000000000000E0
1.00141000000000902E-6	8.00000000000000000E0
1.00142000000000908E-6	8.00000000000000000E0
1.00143000000000892E-6	8.00000000000000000E0
1.00144000000000921E-6	8.00000000000000000E0
1.00145000000000928E-6	8.00000000000000000E0
1.00146000000000934E-6	8.00000000000000000E0
1.00147000000000919E-6	8.00000000000000000E0
1.00148000000000947E-6	8.00000000000000000E0
1.00149000000000954E-6	8.00000000000000000E0
1.00150000000000960E-6	8.00000000000000000E0
1.00151000000000967E-6	8.00000000000000000E0
1.00152000000000951E-6	8.00000000000000000E0
1.00153000000000958E-6	8.00000000000000000E0
1.00154000000000987E-6	8.00000000000000000E0
1.00155000000000993E-6	8.00000000000000000E0
1.00156000000001000E-6	8.00000000000000000E0
1.00157000000001029E-6	8.00000000000000000E0
1.00158000000001035E-6	8.00000000000000000E0
1.00159000000001019E-6	8.00000000000000000E0
1.00160000000001026E-6	8.00000000000000000E0
1.00161000000001033E-6	8.00000000000000000E0
1.00162000000001017E-6	8.00000000000000000E0
1.00163000000001023E-6	8.00000000000000000E0
1.00164000000001052E-6	8.00000000000000000E0
1.00165000000001059E-6	8.00000000000000000E0
1.00166000000001043E-6	8.00000000000000000E0
1.00167000000001072E-6	8.00000000000000000E0
1.00168000000001056E-6	8.00000000000000000E0
1.00169000000001085E-6	8.00000000000000000E0
1.00170000000001092E-6	8.00000000000000000E0
1.00171000000001098E-6	8.00000000000000000E0
1.00172000000001127E-6	8.00000000000000000E0
1.00173000000001133E-6	8.00000000000000000E0
1.00174000000001118E-6	8.00000000000000000E0
1.00175000000001124E-6	8.00000000000000000E0
1.00176000000001131E-6	8.00000000000000000E0
1.00177000000001115E-6	8.00000000000000000E0
1.00178000000001122E-6	8.00000000000000000E0
1.00179000000001150E-6	8.00000000000000000E0
1.00180000000001135E-6	8.00000000000000000E0
1.00181000000001164E-6	8.00000000000000000E0
1.00182000000001170E-6	8.00000000000000000E0
1.00183000000001177E-6	8.00000000000000000E0
1.00184000000001183E-6	8.00000000000000000E0
1.00185000000001168E-6	8.00000000000000000E0
1.00186000000001196E-6	8.00000000000000000E0
1.00187000000001181E-6	8.00000000000000000E0
1.00188000000001209E-6	8.00000000000000000E0
1.00189000000001216E-6	8.00000000000000000E0
1.00190000000001223E-6	8.00000000000000000E0
1.00191000000001229E-6	8.00000000000000000E0
1.00192000000001213E-6	8.00000000000000000E0
