time	Tran1.TRAN.Vc
0.00000000000000000E0	7.98335704045609162E0
6.25000000000000444E-13	7.98335703984071543E0
1.25000000000000089E-12	7.98335703837366850E0
3.12500000000000222E-12	7.98335700707460294E0
8.75000000000000178E-12	7.98335619713189626E0
2.56250000000000044E-11	7.98333448565946835E0
4.71201196761594243E-11	7.98322266481324583E0
6.80884389494362807E-11	7.98295599557544300E0
9.04822356354452140E-11	7.98242028612810639E0
1.15000193449026034E-10	7.98149479215182200E0
1.46138769962909043E-10	7.97999050447788782E0
1.89537897305085901E-10	7.97866694188409120E0
2.30972031800962041E-10	7.98088886294792488E0
2.75668120027441965E-10	7.99209551879578139E0
3.08590450471622813E-10	8.00980910632260290E0
3.35790410320461863E-10	8.03310061936452868E0
3.72300683934278842E-10	8.08037613233670804E0
4.18143080599607231E-10	8.17127353132727130E0
4.78110978983646007E-10	8.35130493751728231E0
5.40610978983645829E-10	8.61172626127035734E0
6.03110978983646007E-10	8.91883113274328032E0
6.65610978983646007E-10	9.19777915596336371E0
7.28110978983646184E-10	9.34478417760181124E0
7.90610978983646184E-10	9.30697354839456636E0
8.53110978983646184E-10	9.11129300051207913E0
9.15610978983646362E-10	8.79849983833129556E0
9.78110978983646362E-10	8.41313951684598038E0
1.04061097898364641E-9	8.02587929911694253E0
1.09339474704735373E-9	7.73339295209896349E0
1.15296486631795703E-9	7.46082110296528889E0
1.21546486631795725E-9	7.27177351147866702E0
1.27796486631795725E-9	7.15966254073342689E0
1.34046486631795680E-9	7.08827408138547810E0
1.39692463097804365E-9	7.15816457023516151E0
1.44983162525289844E-9	7.41525083920734573E0
1.50226729926844671E-9	7.73045801137636346E0
1.55514690890508600E-9	8.01843278290658290E0
1.61285291133882502E-9	8.36024043318371213E0
1.67535291133882547E-9	8.68929942898989971E0
1.73215566305059521E-9	8.85679114689501468E0
1.78009825865964610E-9	8.95316546965437077E0
1.82086538311622026E-9	9.00797765540032636E0
1.86905703754972086E-9	8.95961807006831101E0
1.93074269358676776E-9	8.78385279322559498E0
1.98247768314756878E-9	8.60742452532894831E0
2.04497768314756900E-9	8.29549903067264438E0
2.10747768314756900E-9	7.92435645508494346E0
2.14923948381595853E-9	7.71875226657336899E0
2.19312952143536322E-9	7.52158951743953708E0
2.23440249295884907E-9	7.34079277909094241E0
2.27288646282780160E-9	7.23412901943114761E0
2.33086627142043534E-9	7.19724770788908419E0
2.37699702416335956E-9	7.20557220137566645E0
2.43949702416336045E-9	7.30480792999932316E0
2.48894464883967093E-9	7.49985117176445648E0
2.53770456985018189E-9	7.71561477195895673E0
2.59167207373549369E-9	7.94778878502010944E0
2.62944876436914754E-9	8.14473011708211203E0
2.69194876436914754E-9	8.45088321472574044E0
2.72593337225213350E-9	8.55930779338313563E0
2.77022117542616630E-9	8.66818805404995807E0
2.81147069565213403E-9	8.76121525036721138E0
2.84931968902947030E-9	8.79088536459202174E0
2.88709933463952462E-9	8.74465788967192381E0
2.91458745954303167E-9	8.69311397767414995E0
2.94229525404129433E-9	8.64662895950021415E0
2.96884586237618908E-9	8.58867185442288061E0
2.99758060065434151E-9	8.48632612316836443E0
3.03158263460415967E-9	8.33185557110354225E0
3.06005711542891135E-9	8.21093792377996046E0
3.11950909315404790E-9	7.98465804386591849E0
3.15272946345516436E-9	7.84180819526372641E0
3.17575885741083219E-9	7.73425237288474943E0
3.19649767810117869E-9	7.65051150664969981E0
3.21261015130245742E-9	7.60160843527802488E0
3.22117054642686540E-9	7.58128738342576280E0
3.23134220745111778E-9	7.56019136844651563E0
3.24568650579139728E-9	7.53158509369939111E0
3.27644899536961232E-9	7.46186977091287318E0
3.29943621708129253E-9	7.40779356150950630E0
3.32669131350404523E-9	7.36844084939598609E0
3.36564908247022609E-9	7.37621977478889512E0
3.39314602570867230E-9	7.40497605076023291E0
3.42470696464610924E-9	7.43150561791056496E0
3.45571343775179995E-9	7.46778962046227157E0
3.48340359084170048E-9	7.53446488099764000E0
3.51094004954130146E-9	7.62821297145359711E0
3.53319403782860819E-9	7.70345358653226864E0
3.56908205657566491E-9	7.80427428147595759E0
3.59723090296633430E-9	7.88506735495894695E0
3.63740064693119791E-9	8.03418879887245652E0
3.67666643701910800E-9	8.17933061278143292E0
3.71771965707299579E-9	8.28363818038774014E0
3.76506065482683994E-9	8.38318611209269271E0
3.80741600211680620E-9	8.47829900320295238E0
3.84673394886801745E-9	8.52838960213463260E0
3.88606411766556281E-9	8.52393318548151946E0
3.92095380405791172E-9	8.51095212895541309E0
3.97037685506958038E-9	8.48690980029516062E0
4.01683544347575605E-9	8.40338528962336540E0
4.07933544347575605E-9	8.22964962651639809E0
4.13350335719811213E-9	8.08918109594254453E0
