time	Tran2.TRAN.I_DC.i
1.00000000000000000E-6	2.03853877009093587E-2
1.00000999999999984E-6	1.84144024329671452E-2
1.00002000000000013E-6	1.64819576150350455E-2
1.00003000000000020E-6	1.45957552136091628E-2
1.00004000000000026E-6	1.27633089937894906E-2
1.00005000000000033E-6	1.09919141318765279E-2
1.00006000000000039E-6	9.28861773439036575E-3
1.00007000000000046E-6	7.66019037532305624E-3
1.00008000000000052E-6	6.11309875856442453E-3
1.00009000000000059E-6	4.65347961038281710E-3
1.00010000000000066E-6	3.28711490659560113E-3
1.00011000000000050E-6	2.01940853968925449E-3
1.00012000000000034E-6	8.55364531391334637E-4
1.00013000000000107E-6	-2.00433105165769421E-4
1.00014000000000092E-6	-1.14383875341745189E-3
1.00015000000000098E-6	-1.97116173794860683E-3
1.00016000000000105E-6	-2.67918094156039244E-3
1.00017000000000089E-6	-3.26515742203274506E-3
1.00018000000000118E-6	-3.72684496803409315E-3
1.00019000000000102E-6	-4.06249854572106273E-3
1.00020000000000131E-6	-4.27088059870009396E-3
1.00021000000000138E-6	-4.35126517381297706E-3
1.00022000000000144E-6	-4.30343985379650107E-3
1.00023000000000128E-6	-4.12770548583884356E-3
1.00024000000000157E-6	-3.82487370326938914E-3
1.00025000000000119E-6	-3.39626224695359280E-3
1.00026000000000170E-6	-2.84368810408071848E-3
1.00027000000000177E-6	-2.16945849519397926E-3
1.00028000000000183E-6	-1.37635975533138422E-3
1.00029000000000190E-6	-4.67644171445051082E-4
1.00030000000000197E-6	5.52985144947939933E-4
1.00031000000000181E-6	1.68139125446166848E-3
1.00032000000000210E-6	2.91302214492844813E-3
1.00033000000000216E-6	4.24293111964121294E-3
1.00034000000000223E-6	5.66579868051454305E-3
1.00035000000000229E-6	7.17595575604310909E-3
1.00036000000000214E-6	8.76740811300697942E-3
1.00037000000000242E-6	1.04338617809480239E-2
1.00038000000000227E-6	1.21687493099494470E-2
1.00039000000000233E-6	1.39652566760815766E-2
1.00040000000000240E-6	1.58163506463480097E-2
1.00041000000000269E-6	1.77148064176622988E-2
1.00042000000000275E-6	1.96532353539022631E-2
1.00043000000000282E-6	2.16241126627029612E-2
1.00044000000000266E-6	2.36198048799682248E-2
1.00045000000000295E-6	2.56325970647201418E-2
